交易日期,基金名称,基金代码,前收盘价,开盘价,最高价,最低价,收盘价,成交量,成交额,累计单位净值,单位净值,后复权因子,换手率
2005-2-23,华夏上证50ETF,510050.OF,0.887,0.881,0.882,0.866,0.876,1269742542,1111793167,0.878,0.878,1,19.73314739
2005-2-24,华夏上证50ETF,510050.OF,0.876,0.876,0.876,0.868,0.876,451614223,394141216,0.877,0.877,1,7.018564576
2005-2-25,华夏上证50ETF,510050.OF,0.876,0.877,0.887,0.875,0.88,506460695,446597972,0.878,0.878,1,7.87093699
2005-2-28,华夏上证50ETF,510050.OF,0.88,0.878,0.879,0.87,0.872,187965193,164467462,0.869,0.869,1,2.921178692
2005-3-1,华夏上证50ETF,510050.OF,0.872,0.87,0.873,0.865,0.867,208094456,180573596,0.866,0.866,1,3.234008813
2005-3-2,华夏上证50ETF,510050.OF,0.867,0.867,0.874,0.857,0.859,249274643,215572195,0.856,0.856,1,3.873992646
2005-3-3,华夏上证50ETF,510050.OF,0.859,0.858,0.861,0.854,0.859,100153220,85830280,0.862,0.862,1,1.556487387
2005-3-4,华夏上证50ETF,510050.OF,0.859,0.859,0.865,0.857,0.86,129800189,111715108,0.859,0.859,1,2.017232766
2005-3-7,华夏上证50ETF,510050.OF,0.86,0.86,0.865,0.86,0.862,116789645,100713450,0.864,0.864,1,1.815035097
2005-3-8,华夏上证50ETF,510050.OF,0.862,0.864,0.875,0.863,0.874,298505387,259486071,0.876,0.876,1,4.639090684
2005-3-9,华夏上证50ETF,510050.OF,0.874,0.874,0.878,0.869,0.873,200006304,174863933,0.869,0.869,1,3.108310342
2005-3-10,华夏上证50ETF,510050.OF,0.873,0.872,0.872,0.852,0.853,333859748,287003280,0.851,0.851,1,5.188534996
2005-3-11,华夏上证50ETF,510050.OF,0.853,0.853,0.856,0.85,0.855,132344547,112888757,0.854,0.854,1,2.056774791
2005-3-14,华夏上证50ETF,510050.OF,0.855,0.855,0.864,0.845,0.857,233509499,199760619,0.857,0.857,1,3.628985568
2005-3-15,华夏上证50ETF,510050.OF,0.857,0.856,0.856,0.842,0.843,282961631,239546928,0.841,0.841,1,4.397524211
2005-3-16,华夏上证50ETF,510050.OF,0.843,0.841,0.843,0.832,0.834,219444991,183701630,0.833,0.833,1,3.41040818
2005-3-17,华夏上证50ETF,510050.OF,0.834,0.834,0.837,0.827,0.828,130062534,108082309,0.827,0.827,1,2.021309886
2005-3-18,华夏上证50ETF,510050.OF,0.828,0.828,0.832,0.821,0.824,227792257,188092685,0.821,0.821,1,3.540133557
2005-3-21,华夏上证50ETF,510050.OF,0.824,0.824,0.826,0.821,0.824,103273002,85036479,0.823,0.823,1,1.604972112
2005-3-22,华夏上证50ETF,510050.OF,0.824,0.824,0.825,0.807,0.808,162294082,131858193,0.808,0.808,1,2.522222368
2005-3-23,华夏上证50ETF,510050.OF,0.808,0.807,0.811,0.8,0.804,145295510,117013259,0.802,0.802,1,2.258046509
2005-3-24,华夏上证50ETF,510050.OF,0.804,0.802,0.807,0.797,0.806,118388057,94998083,0.808,0.808,1,1.839876117
2005-3-25,华夏上证50ETF,510050.OF,0.806,0.806,0.809,0.802,0.805,108223365,87190626,0.807,0.807,1,1.68190601
2005-3-28,华夏上证50ETF,510050.OF,0.805,0.803,0.805,0.797,0.802,71266320,57019414,0.806,0.806,1,1.107554288
2005-3-29,华夏上证50ETF,510050.OF,0.802,0.802,0.811,0.802,0.805,144018030,116246835,0.803,0.803,1,2.238193113
2005-3-30,华夏上证50ETF,510050.OF,0.805,0.804,0.804,0.791,0.793,192659445,153413202,0.791,0.791,1,2.994132352
2005-3-31,华夏上证50ETF,510050.OF,0.793,0.792,0.795,0.786,0.794,128738277,101747478,0.796,0.796,1,1.982551067
2005-4-1,华夏上证50ETF,510050.OF,0.794,0.793,0.834,0.79,0.829,502390601,409666114,0.823,0.823,1,7.736743454
2005-4-4,华夏上证50ETF,510050.OF,0.829,0.814,0.818,0.804,0.81,232991558,188905456,0.809,0.809,1,3.588036694
2005-4-5,华夏上证50ETF,510050.OF,0.81,0.808,0.813,0.802,0.805,129587051,104559653,0.802,0.802,1,1.995622065
2005-4-6,华夏上证50ETF,510050.OF,0.805,0.802,0.825,0.799,0.818,261361039,212119445,0.817,0.817,1,4.024922647
2005-4-7,华夏上证50ETF,510050.OF,0.818,0.818,0.839,0.815,0.824,363451793,301938686,0.825,0.825,1,5.597105668
2005-4-8,华夏上证50ETF,510050.OF,0.824,0.824,0.836,0.819,0.836,243258274,201477220,0.838,0.838,1,3.746142653
2005-4-11,华夏上证50ETF,510050.OF,0.836,0.833,0.841,0.827,0.83,163205841,135974256,0.831,0.831,1,2.513346626
2005-4-12,华夏上证50ETF,510050.OF,0.83,0.83,0.832,0.82,0.821,211489793,174409112,0.819,0.819,1,3.256912586
2005-4-13,华夏上证50ETF,510050.OF,0.821,0.831,0.842,0.83,0.84,403705535,337790234,0.836,0.836,1,6.217007542
2005-4-14,华夏上证50ETF,510050.OF,0.84,0.84,0.841,0.828,0.828,207716078,173240368,0.826,0.826,1,3.198797915
2005-4-15,华夏上证50ETF,510050.OF,0.828,0.827,0.827,0.817,0.818,280301112,230119725,0.817,0.817,1,4.316597064
2005-4-18,华夏上证50ETF,510050.OF,0.818,0.815,0.819,0.805,0.808,165191131,133944475,0.806,0.806,1,2.543919808
2005-4-19,华夏上证50ETF,510050.OF,0.808,0.808,0.812,0.804,0.811,81425678,65792238,0.809,0.809,1,1.253943804
2005-4-20,华夏上证50ETF,510050.OF,0.811,0.81,0.81,0.796,0.797,218490295,174772102,0.799,0.799,1,3.364719316
2005-4-21,华夏上证50ETF,510050.OF,0.797,0.798,0.804,0.793,0.797,238539371,190472801,0.794,0.794,1,3.673472221
2005-4-22,华夏上证50ETF,510050.OF,0.797,0.799,0.802,0.795,0.798,246711082,196930000,0.795,0.795,1,3.799315403
2005-4-25,华夏上证50ETF,510050.OF,0.798,0.797,0.797,0.786,0.79,316891803,250442307,0.791,0.791,1,4.880088476
2005-4-26,华夏上证50ETF,510050.OF,0.79,0.79,0.796,0.788,0.793,227232716,179953915,0.799,0.799,1,3.49935135
2005-4-27,华夏上证50ETF,510050.OF,0.793,0.796,0.796,0.787,0.788,223597026,176930957,0.785,0.785,1,3.443362244
2005-4-28,华夏上证50ETF,510050.OF,0.788,0.787,0.798,0.783,0.797,310325839,245322577,0.795,0.795,1,4.778973569
2005-4-29,华夏上证50ETF,510050.OF,0.797,0.795,0.798,0.785,0.788,225864067,179141487,0.792,0.792,1,3.478274351
2005-5-9,华夏上证50ETF,510050.OF,0.788,0.8,0.801,0.779,0.78,334730997,263073126,0.777,0.777,1,5.154809514
2005-5-10,华夏上证50ETF,510050.OF,0.78,0.78,0.785,0.77,0.783,316123781,245236858,0.781,0.781,1,4.868261047
2005-5-11,华夏上证50ETF,510050.OF,0.783,0.782,0.784,0.776,0.777,212492775,165612893,0.773,0.773,1,3.272358366
2005-5-12,华夏上证50ETF,510050.OF,0.777,0.775,0.777,0.759,0.76,269280431,206669530,0.756,0.756,1,4.146880152
2005-5-13,华夏上证50ETF,510050.OF,0.76,0.758,0.769,0.755,0.762,196727142,149807953,0.759,0.759,1,3.029569871
2005-5-16,华夏上证50ETF,510050.OF,0.762,0.762,0.762,0.747,0.75,148144825,111490042,0.75,0.75,1,2.281409132
2005-5-17,华夏上证50ETF,510050.OF,0.75,0.75,0.76,0.746,0.754,118426170,89362441,0.753,0.753,1,1.823746093
2005-5-18,华夏上证50ETF,510050.OF,0.754,0.752,0.761,0.747,0.755,144455314,108860183,0.755,0.755,1,2.22459119
2005-5-19,华夏上证50ETF,510050.OF,0.755,0.754,0.759,0.746,0.755,149821563,112607242,0.757,0.757,1,2.307230658
2005-5-20,华夏上证50ETF,510050.OF,0.755,0.754,0.76,0.752,0.757,147698507,111791410,0.755,0.755,1,2.274535899
2005-5-23,华夏上证50ETF,510050.OF,0.757,0.753,0.753,0.742,0.743,247299969,184723307,0.742,0.742,1,3.808384179
2005-5-24,华夏上证50ETF,510050.OF,0.743,0.741,0.744,0.733,0.741,245240160,181493672,0.742,0.742,1,3.776663414
2005-5-25,华夏上证50ETF,510050.OF,0.741,0.74,0.749,0.737,0.743,155531216,115554585,0.743,0.743,1,2.395158498
2005-5-26,华夏上证50ETF,510050.OF,0.743,0.743,0.746,0.734,0.736,124411589,92004060,0.734,0.734,1,1.91592069
2005-5-27,华夏上证50ETF,510050.OF,0.736,0.735,0.739,0.728,0.73,195085585,143076640,0.729,0.729,1,3.004290127
2005-5-30,华夏上证50ETF,510050.OF,0.73,0.727,0.739,0.722,0.736,220635664,161242196,0.734,0.734,1,3.397757692
2005-5-31,华夏上证50ETF,510050.OF,0.736,0.736,0.742,0.733,0.738,171055059,126332693,0.736,0.736,1,2.634223461
2005-6-1,华夏上证50ETF,510050.OF,0.738,0.736,0.739,0.724,0.726,155460871,113509625,0.724,0.724,1,2.394075195
2005-6-2,华夏上证50ETF,510050.OF,0.726,0.724,0.725,0.704,0.707,360756880,257614194,0.707,0.707,1,5.555604393
2005-6-3,华夏上证50ETF,510050.OF,0.707,0.708,0.71,0.7,0.705,279963936,197185637,0.706,0.706,1,4.311404602
2005-6-6,华夏上证50ETF,510050.OF,0.705,0.704,0.721,0.7,0.72,426957759,303683830,0.723,0.723,1,6.575088468
2005-6-7,华夏上证50ETF,510050.OF,0.72,0.718,0.735,0.716,0.72,354368128,257538834,0.72,0.72,1,5.457218525
2005-6-8,华夏上证50ETF,510050.OF,0.72,0.722,0.784,0.722,0.781,968417419,737774296,0.778,0.778,1,14.91348985
2005-6-9,华夏上证50ETF,510050.OF,0.781,0.78,0.8,0.77,0.789,738007107,578588882,0.784,0.784,1,11.36520397
2005-6-10,华夏上证50ETF,510050.OF,0.789,0.787,0.787,0.77,0.775,458071741,355293345,0.773,0.773,1,7.054239344
2005-6-13,华夏上证50ETF,510050.OF,0.775,0.776,0.779,0.761,0.774,400231398,308249593,0.769,0.769,1,6.163506328
2005-6-14,华夏上证50ETF,510050.OF,0.774,0.774,0.781,0.767,0.768,246761320,190898642,0.764,0.764,1,3.800089061
2005-6-15,华夏上证50ETF,510050.OF,0.768,0.765,0.766,0.753,0.755,220336445,167235406,0.755,0.755,1,3.393149763
2005-6-16,华夏上证50ETF,510050.OF,0.755,0.753,0.767,0.753,0.766,159723234,121380529,0.767,0.767,1,2.459714976
2005-6-17,华夏上证50ETF,510050.OF,0.766,0.77,0.782,0.769,0.772,289736570,223969031,0.771,0.771,1,4.461901769
2005-6-20,华夏上证50ETF,510050.OF,0.772,0.785,0.805,0.777,0.804,572495008,452933571,0.79,0.79,1,8.816341302
2005-6-21,华夏上证50ETF,510050.OF,0.804,0.804,0.804,0.792,0.794,279939976,222879943,0.78,0.78,1,4.311035621
2005-6-22,华夏上证50ETF,510050.OF,0.794,0.792,0.799,0.789,0.798,228293483,181189669,0.785,0.785,1,3.515687011
