exchange;cal_date;ivix;ivixx
SSE;20150209;27.70780306;28.75
SSE;20150210;28.3356132;26.44
SSE;20150211;25.5633817;25.8
SSE;20150212;24.4479427;23.41
SSE;20150213;21.59112519;23.71
SSE;20150216;21.75565661;24.3
SSE;20150217;22.32690838;26.33
SSE;20150225;23.4807083;26.1
SSE;20150226;22.5369534;27.04
SSE;20150227;24.22774362;28.05
SSE;20150302;25.17628762;28.45
SSE;20150303;25.47454759;27.68
SSE;20150304;24.71128937;26.67
SSE;20150305;23.80481325;26.47
SSE;20150306;23.59792887;27.22
SSE;20150309;24.22908877;26.22
SSE;20150310;23.41165717;25.86
SSE;20150311;22.96150378;25.93
SSE;20150312;22.43528209;25.01
SSE;20150313;22.35015971;25.14
SSE;20150316;21.99975042;25.25
SSE;20150317;22.36752354;25.14
SSE;20150318;22.21608086;27.3
SSE;20150319;25.24341252;26.47
SSE;20150320;24.13464241;28.76
SSE;20150323;25.9589931;30.67
SSE;20150324;28.10080794;30.16
SSE;20150325;27.51163334;29.06
SSE;20150326;26.29475733;29.28
SSE;20150327;26.57232478;27.87
SSE;20150330;24.7431379;30.09
SSE;20150331;27.50535796;30.36
SSE;20150401;27.50500285;31.77
SSE;20150402;29.02368269;31.17
SSE;20150403;28.37414726;29.51
SSE;20150407;26.34850942;31.98
SSE;20150408;29.16475967;35.06
SSE;20150409;32.41294753;33.41
SSE;20150410;30.65618497;36.86
SSE;20150413;33.06010781;40.15
SSE;20150414;35.45457731;40.13
SSE;20150415;35.40914277;37.36
SSE;20150416;34.60081015;41.57
SSE;20150417;38.34365349;47.75
SSE;20150420;44.76234992;46.9
SSE;20150421;43.25727361;44.28
SSE;20150422;39.77664934;44.72
SSE;20150423;40.49555576;45.65
SSE;20150424;41.14771128;44.88
SSE;20150427;39.65032499;46.59
SSE;20150428;41.71704194;46.61
SSE;20150429;41.60189044;46.55
SSE;20150430;41.61097051;46.13
SSE;20150504;41.22794919;45.46
SSE;20150505;40.4161125;45.55
SSE;20150506;40.54623373;46.78
SSE;20150507;41.56346083;44.97
SSE;20150508;41.00814171;45.78
SSE;20150511;40.7983804;45.97
SSE;20150512;40.96610142;46.03
SSE;20150513;40.94459004;44.96
SSE;20150514;39.94258693;41.44
SSE;20150515;36.08768104;37.48
SSE;20150518;33.0917678;37.28
SSE;20150519;33.98220738;41.52
SSE;20150520;36.63715158;42.05
SSE;20150521;38.15712892;43.01
SSE;20150522;39.08401717;45.8
SSE;20150525;40.76046518;45.81
SSE;20150526;41.01099289;46.91
SSE;20150527;42.34000853;46.63
SSE;20150528;41.35864262;47.29
SSE;20150529;41.93477018;47.22
SSE;20150601;41.58024901;47.61
SSE;20150602;42.33924829;47.9
SSE;20150603;42.68755701;46.57
SSE;20150604;41.29466181;46.6
SSE;20150605;41.41915301;43.66
SSE;20150608;38.07338031;47.55
SSE;20150609;42.67058891;48.07
SSE;20150610;43.53289126;49.74
SSE;20150611;44.57150372;49.76
SSE;20150612;44.58870887;48.06
SSE;20150615;43.43721103;47.27
SSE;20150616;41.82167783;47.31
SSE;20150617;41.84444864;47.08
SSE;20150618;41.53044657;46.9
SSE;20150619;41.11110733;51.17
SSE;20150623;47.24763235;52.05
SSE;20150624;47.52565839;47.42
SSE;20150625;42.3214629;48.08
SSE;20150626;55.17551342;60.09
SSE;20150629;56.19377816;59.21
SSE;20150630;55.60316064;55.91
SSE;20150701;52.5580422;57.54
SSE;20150702;54.18539174;55.15
SSE;20150703;51.46501971;60.08
SSE;20150706;56.17415178;54.84
SSE;20150707;51.2340647;51.7
SSE;20150708;48.84944733;55.34
SSE;20150709;51.63818347;54.02
SSE;20150710;50.26930815;52.96
SSE;20150713;49.44709796;49.31
SSE;20150714;46.03567998;45.06
SSE;20150715;41.99783397;41.63
SSE;20150716;32.4437189;39.33
SSE;20150717;30.58179609;38.73
SSE;20150720;33.2491508;38.79
SSE;20150721;34.93265412;35.26
SSE;20150722;31.23565496;32.98
SSE;20150723;29.2502291;33.09
SSE;20150724;29.4735818;30.41
SSE;20150727;26.12989891;39.52
SSE;20150728;36.30408617;41.79
SSE;20150729;38.61551066;37.43
