,交易日期,行权价,成交量(手),到期剩余天数,期权代码,收盘价,到期ETF收盘价,现期ETF收盘价,monthly_RV,option_type,期权收益率,IV,在值程度
0,2016-02-02,1.95,941.0,50,10000373.SH,0.1,2.171,1.975,0.4326345461511479,call,0.02419999999999997,0.2887335035294889,1
1,2016-02-03,1.95,1709.0,49,10000373.SH,0.09,2.171,1.953,0.39547372326051816,call,0.029705215419501097,0.30001176956546305,1
2,2016-02-04,1.95,1214.0,48,10000373.SH,0.09,2.171,1.978,0.39961778420231253,call,0.030324074074074038,0.2530653270696103,1
3,2016-02-05,1.95,1059.0,47,10000373.SH,0.09,2.171,1.968,0.3933336070204802,call,0.03096926713947987,0.27695378386774655,1
4,2016-02-15,1.9,1781.0,37,10000401.SH,0.09,2.171,1.949,0.3421824463181192,call,0.05435435435435433,0.2437535960954428,1
5,2016-02-16,1.95,3810.0,36,10000373.SH,0.09,2.171,2.001,0.3490985688381217,call,0.04043209876543205,0.2351607563824653,1
6,2016-02-17,2.0,5229.0,35,10000374.SH,0.07,2.171,2.013,0.3225671699742978,call,0.041224489795918286,0.24597774230316283,1
7,2016-02-18,2.0,7091.0,34,10000374.SH,0.06,2.171,2.011,0.3220758363510367,call,0.054411764705882264,0.21318310433113577,1
8,2016-02-19,2.0,5943.0,33,10000374.SH,0.06,2.171,2.006,0.3212954329613362,call,0.05606060606060597,0.22820227521204944,1
9,2016-02-22,2.0,16140.0,30,10000374.SH,0.07,2.171,2.0540000000000003,0.33118813692441196,call,0.048095238095238,0.14447269232863186,1
10,2016-02-23,2.0,12925.0,29,10000374.SH,0.07,2.171,2.03,0.3189868014943113,call,0.049753694581280684,0.2271872086190581,1
11,2016-02-24,2.0,16377.0,28,10000374.SH,0.07,2.171,2.039,0.31948536859374654,call,0.051530612244897855,0.20459622507965566,1
12,2016-02-25,1.9,5502.0,27,10000401.SH,0.08,2.171,1.936,0.345928314650041,call,0.08842592592592588,0.28039261252400277,1
13,2016-02-26,1.95,17002.0,26,10000373.SH,0.06,2.171,1.956,0.34551533402384466,call,0.10320512820512813,0.26608434588587293,1
14,2016-03-08,2.05,1557.0,50,10000577.SH,0.11,2.144,2.115,0.3105904761520838,call,-0.0029090909090908547,0.22287874863034488,1
15,2016-03-09,2.05,1828.0,49,10000577.SH,0.09,2.144,2.107,0.303583418059936,call,0.0009070294784581191,0.17257716235765813,1
