,交易日期,行权价,成交量(手),到期剩余天数,期权代码,收盘价,到期ETF收盘价,现期ETF收盘价,monthly_RV,option_type,期权收益率,IV,在值程度
0,2016-02-02,1.8,1643.0,50,10000399.SH,0.19,2.171,1.975,0.4326345461511479,call,0.019052631578947345,0.2223409957940578,0.91
1,2016-02-02,1.85,540.0,50,10000400.SH,0.15,2.171,1.975,0.4326345461511479,call,0.022799999999999966,0.22908579441979526,0.94
2,2016-02-02,1.9,642.0,50,10000401.SH,0.12,2.171,1.975,0.4326345461511479,call,0.025166666666666657,0.2536062389504909,0.96
3,2016-02-03,1.8,1545.0,49,10000399.SH,0.17,2.171,1.953,0.39547372326051816,call,0.024129651860744266,0.22014253917539114,0.92
4,2016-02-03,1.85,366.0,49,10000400.SH,0.14,2.171,1.953,0.39547372326051816,call,0.026384839650145733,0.263700459310025,0.95
5,2016-02-03,1.9,1120.0,49,10000401.SH,0.11,2.171,1.953,0.39547372326051816,call,0.029870129870129852,0.2739979910112322,0.97
6,2016-02-04,1.8,1566.0,48,10000399.SH,0.18,2.171,1.978,0.39961778420231253,call,0.022106481481481456,,0.91
7,2016-02-04,1.85,816.0,48,10000400.SH,0.15,2.171,1.978,0.39961778420231253,call,0.023749999999999966,0.22224586682856082,0.94
8,2016-02-04,1.9,1253.0,48,10000401.SH,0.12,2.171,1.978,0.39961778420231253,call,0.026215277777777768,0.251189331417948,0.96
9,2016-02-05,1.8,1109.0,47,10000399.SH,0.18,2.171,1.968,0.3933336070204802,call,0.022576832151300213,0.20262378916096685,0.91
10,2016-02-05,1.85,415.0,47,10000400.SH,0.14,2.171,1.968,0.3933336070204802,call,0.02750759878419449,0.21527761050128935,0.94
11,2016-02-05,1.9,717.0,47,10000401.SH,0.11,2.171,1.968,0.3933336070204802,call,0.031141199226305594,0.24180273704737426,0.97
12,2016-02-15,1.8,1840.0,37,10000399.SH,0.16,2.171,1.949,0.3421824463181192,call,0.03564189189189186,0.21105378906583788,0.92
13,2016-02-15,1.85,786.0,37,10000400.SH,0.12,2.171,1.949,0.3421824463181192,call,0.04527027027027022,0.2203939514413476,0.95
14,2016-02-16,1.8,2433.0,36,10000399.SH,0.2,2.171,2.001,0.3490985688381217,call,0.02374999999999997,,0.9
15,2016-02-16,1.85,1062.0,36,10000400.SH,0.16,2.171,2.001,0.3490985688381217,call,0.02795138888888884,0.1913511259588003,0.92
