,交易日期,行权价,成交量(手),到期剩余天数,期权代码,收盘价,到期ETF收盘价,现期ETF收盘价,monthly_RV,option_type,期权收益率,IV,在值程度
0,2016-02-02,1.8,1643.0,50,10000399.SH,0.19,2.171,1.975,0.4326345461511479,call,0.5715789473684203,0.2223409957940578,0.91
1,2016-02-02,1.85,540.0,50,10000400.SH,0.15,2.171,1.975,0.4326345461511479,call,0.6839999999999989,0.22908579441979526,0.94
2,2016-02-02,1.9,642.0,50,10000401.SH,0.12,2.171,1.975,0.4326345461511479,call,0.7549999999999997,0.2536062389504909,0.96
3,2016-02-03,1.8,1545.0,49,10000399.SH,0.17,2.171,1.953,0.39547372326051816,call,0.7238895558223281,0.22014253917539114,0.92
4,2016-02-03,1.85,366.0,49,10000400.SH,0.14,2.171,1.953,0.39547372326051816,call,0.791545189504372,0.263700459310025,0.95
5,2016-02-03,1.9,1120.0,49,10000401.SH,0.11,2.171,1.953,0.39547372326051816,call,0.8961038961038957,0.2739979910112322,0.97
6,2016-02-04,1.8,1566.0,48,10000399.SH,0.18,2.171,1.978,0.39961778420231253,call,0.6631944444444438,,0.91
7,2016-02-04,1.85,816.0,48,10000400.SH,0.15,2.171,1.978,0.39961778420231253,call,0.712499999999999,0.22224586682856082,0.94
8,2016-02-04,1.9,1253.0,48,10000401.SH,0.12,2.171,1.978,0.39961778420231253,call,0.786458333333333,0.251189331417948,0.96
9,2016-02-05,1.8,1109.0,47,10000399.SH,0.18,2.171,1.968,0.3933336070204802,call,0.6773049645390065,0.20262378916096685,0.91
10,2016-02-05,1.85,415.0,47,10000400.SH,0.14,2.171,1.968,0.3933336070204802,call,0.8252279635258347,0.21527761050128935,0.94
11,2016-02-05,1.9,717.0,47,10000401.SH,0.11,2.171,1.968,0.3933336070204802,call,0.9342359767891679,0.24180273704737426,0.97
12,2016-02-15,1.8,1840.0,37,10000399.SH,0.16,2.171,1.949,0.3421824463181192,call,1.069256756756756,0.21105378906583788,0.92
13,2016-02-15,1.85,786.0,37,10000400.SH,0.12,2.171,1.949,0.3421824463181192,call,1.3581081081081066,0.2203939514413476,0.95
14,2016-02-16,1.8,2433.0,36,10000399.SH,0.2,2.171,2.001,0.3490985688381217,call,0.7124999999999991,,0.9
15,2016-02-16,1.85,1062.0,36,10000400.SH,0.16,2.171,2.001,0.3490985688381217,call,0.8385416666666653,0.1913511259588003,0.92
16,2016-02-16,1.9,1587.0,36,10000401.SH,0.12,2.171,2.001,0.3490985688381217,call,1.0486111111111107,0.20869076410523058,0.95
17,2016-02-17,1.95,2677.0,35,10000373.SH,0.1,2.171,2.013,0.3225671699742978,call,1.0371428571428558,0.24740318667024375,0.97
18,2016-02-17,1.8,1544.0,35,10000399.SH,0.2,2.171,2.013,0.3225671699742978,call,0.7328571428571419,,0.89
19,2016-02-17,1.85,663.0,35,10000400.SH,0.16,2.171,2.013,0.3225671699742978,call,0.8624999999999985,,0.92
20,2016-02-17,1.9,1311.0,35,10000401.SH,0.13,2.171,2.013,0.3225671699742978,call,0.929670329670329,0.2135104528765679,0.94
