,交易日期,行权价,成交量(手),到期剩余天数,期权代码,收盘价,到期ETF收盘价,现期ETF收盘价,monthly_RV,option_type,期权收益率,IV,在值程度
0,2016-02-02,1.95,1623.0,50,10000377.SH,0.1,2.171,1.975,0.4326345461511479,put,-0.02,0.39754125132590534,1
1,2016-02-03,1.95,1213.0,49,10000377.SH,0.11,2.171,1.953,0.39547372326051816,put,-0.02040816326530612,0.4022561551841199,1
2,2016-02-04,1.95,1789.0,48,10000377.SH,0.09,2.171,1.978,0.39961778420231253,put,-0.020833333333333332,0.3742623113204837,1
3,2016-02-05,1.95,1146.0,47,10000377.SH,0.1,2.171,1.968,0.3933336070204802,put,-0.02127659574468085,0.39849194493472573,1
4,2016-02-15,1.9,2431.0,37,10000404.SH,0.08,2.171,1.949,0.3421824463181192,put,-0.02702702702702703,0.42858297717618943,1
5,2016-02-16,1.95,3709.0,36,10000377.SH,0.07,2.171,2.001,0.3490985688381217,put,-0.027777777777777776,0.38516709483903644,1
6,2016-02-17,2.0,6489.0,35,10000378.SH,0.09,2.171,2.013,0.3225671699742978,put,-0.02857142857142857,0.3979386948985457,1
7,2016-02-18,2.0,5183.0,34,10000378.SH,0.09,2.171,2.011,0.3220758363510367,put,-0.029411764705882353,0.3997927560518979,1
8,2016-02-19,2.0,8302.0,33,10000378.SH,0.08,2.171,2.006,0.3212954329613362,put,-0.030303030303030304,0.35426389011394976,1
9,2016-02-22,2.0,15345.0,30,10000378.SH,0.05,2.171,2.0540000000000003,0.33118813692441196,put,-0.03333333333333333,0.32567489416980744,1
10,2016-02-23,2.0,14830.0,29,10000378.SH,0.06,2.171,2.03,0.3189868014943113,put,-0.034482758620689655,0.3342790587596298,1
11,2016-02-24,2.0,13692.0,28,10000378.SH,0.06,2.171,2.039,0.31948536859374654,put,-0.03571428571428571,0.3565881124702097,1
12,2016-02-25,1.9,15456.0,27,10000404.SH,0.06,2.171,1.936,0.345928314650041,put,-0.037037037037037035,0.3755720035252869,1
13,2016-02-26,1.95,17382.0,26,10000377.SH,0.07,2.171,1.956,0.34551533402384466,put,-0.038461538461538464,0.3587601046398282,1
14,2016-03-08,2.05,1423.0,50,10000582.SH,0.09,2.144,2.115,0.3105904761520838,put,-0.02,0.39919176271912454,1
15,2016-03-09,2.05,1311.0,49,10000582.SH,0.1,2.144,2.107,0.303583418059936,put,-0.02040816326530612,0.4264105081696511,1
16,2016-03-10,2.05,1225.0,48,10000582.SH,0.11,2.144,2.059,0.31274496367969934,put,-0.020833333333333332,0.3961034091989099,1
17,2016-03-11,2.0,1006.0,47,10000581.SH,0.08,2.144,2.066,0.30929351947114875,put,-0.02127659574468085,0.3868596274858117,1
18,2016-03-14,2.05,3470.0,44,10000582.SH,0.09,2.144,2.076,0.30732889211873543,put,-0.022727272727272728,0.3685389569815397,1
19,2016-03-15,2.05,4158.0,43,10000582.SH,0.09,2.144,2.0980000000000003,0.3074408687186415,put,-0.023255813953488372,0.405139766851902,1
20,2016-03-16,2.05,5974.0,42,10000582.SH,0.08,2.144,2.135,0.30782789293239066,put,-0.023809523809523808,0.42415161247140176,1
21,2016-03-17,2.1,5620.0,41,10000583.SH,0.08,2.144,2.132,0.2979941734397952,put,-0.024390243902439025,0.3455470131972135,1
22,2016-03-18,2.15,5636.0,40,10000584.SH,0.1,2.144,2.14,0.29781146553727084,put,-0.023500000000000056,0.34551822416818145,1
23,2016-03-21,2.2,7381.0,37,10000590.SH,0.09,2.144,2.192,0.3059199954291365,put,-0.010210210210210196,0.3180299466487467,1
24,2016-03-22,2.15,7481.0,36,10000584.SH,0.08,2.144,2.169,0.30914408994639825,put,-0.02569444444444452,0.33854961021322016,1
25,2016-03-23,2.15,11092.0,35,10000584.SH,0.08,2.144,2.171,0.30087451728949965,put,-0.026428571428571506,0.3464017433759273,1
26,2016-03-24,2.15,18298.0,34,10000584.SH,0.09,2.144,2.14,0.3024979547062574,put,-0.027450980392156935,0.3347095828935802,1
27,2016-03-25,2.15,14886.0,33,10000584.SH,0.08,2.144,2.145,0.3024127480492692,put,-0.028030303030303114,0.30999357562115787,1
28,2016-03-28,2.1,10671.0,30,10000583.SH,0.06,2.144,2.121,0.23997406894383472,put,-0.03333333333333333,0.29783298246973755,1
29,2016-03-29,2.1,12074.0,29,10000583.SH,0.06,2.144,2.104,0.24236007873670054,put,-0.034482758620689655,0.27043619803428653,1
30,2016-03-30,2.15,17424.0,28,10000584.SH,0.06,2.144,2.158,0.24866877773430643,put,-0.03214285714285727,0.27650442467546466,1
31,2016-03-31,2.15,14550.0,27,10000584.SH,0.06,2.144,2.156,0.24533660409671001,put,-0.033333333333333465,0.2773517638819218,1
32,2016-04-01,2.15,19071.0,26,10000584.SH,0.06,2.144,2.165,0.2122708360294263,put,-0.034615384615384756,0.30013300535231824,1
33,2016-04-05,2.15,1163.0,50,10000608.SH,0.09,2.074,2.175,0.2123783613207017,put,-0.0031111111111110958,0.329987168853879,1
34,2016-04-06,2.15,869.0,49,10000608.SH,0.09,2.074,2.165,0.1839685439602058,put,-0.0031746031746031586,0.3192246019466518,1
35,2016-04-07,2.15,1456.0,48,10000608.SH,0.1,2.074,2.139,0.18814031988878266,put,-0.004999999999999985,0.31570840650016063,1
