,交易日期,行权价,成交量(手),到期剩余天数,期权代码,收盘价,到期ETF收盘价,现期ETF收盘价,monthly_RV,option_type,期权收益率,IV,在值程度
0,2016-02-02,2.65,60.0,50,10000292.SH,0.71,2.171,1.975,0.4326345461511479,put,-0.19521126760563368,0.7261248043802381,1.34
1,2016-02-02,2.7,23.0,50,10000293.SH,0.75,2.171,1.975,0.4326345461511479,put,-0.1767999999999997,0.6990626402532457,1.37
2,2016-02-02,2.75,31.0,50,10000294.SH,0.81,2.171,1.975,0.4326345461511479,put,-0.171111111111111,0.7858828416322472,1.39
3,2016-02-02,2.8,90.0,50,10000295.SH,0.86,2.171,1.975,0.4326345461511479,put,-0.1611627906976744,0.8144557443303467,1.42
4,2016-02-02,2.85,157.0,50,10000296.SH,0.9,2.171,1.975,0.4326345461511479,put,-0.14733333333333318,0.782111419224441,1.44
5,2016-02-02,2.9,342.0,50,10000298.SH,0.96,2.171,1.975,0.4326345461511479,put,-0.14437499999999992,0.8692732742564679,1.47
6,2016-02-02,2.4,73.0,50,10000312.SH,0.46,2.171,1.975,0.4326345461511479,put,-0.3013043478260869,0.5577029048723576,1.22
7,2016-02-02,2.45,110.0,50,10000313.SH,0.51,2.171,1.975,0.4326345461511479,put,-0.2717647058823525,0.5939883467248976,1.24
8,2016-02-02,2.5,71.0,50,10000314.SH,0.56,2.171,1.975,0.4326345461511479,put,-0.24749999999999983,0.6288425625627041,1.27
9,2016-02-02,2.55,41.0,50,10000315.SH,0.61,2.171,1.975,0.4326345461511479,put,-0.22721311475409833,0.6624078286017181,1.29
10,2016-02-02,2.6,46.0,50,10000316.SH,0.66,2.171,1.975,0.4326345461511479,put,-0.20999999999999977,0.6948022215842007,1.32
11,2016-02-02,2.35,53.0,50,10000322.SH,0.42,2.171,1.975,0.4326345461511479,put,-0.34428571428571386,0.5652478954541086,1.19
12,2016-02-02,2.3,111.0,50,10000328.SH,0.37,2.171,1.975,0.4326345461511479,put,-0.3908108108108108,0.5242221581773758,1.16
13,2016-02-02,2.25,167.0,50,10000334.SH,0.33,2.171,1.975,0.4326345461511479,put,-0.456363636363636,0.5218636631675064,1.14
14,2016-02-02,2.15,240.0,50,10000347.SH,0.24,2.171,1.975,0.4326345461511479,put,-0.6,0.4617190899873973,1.09
15,2016-02-02,2.2,253.0,50,10000348.SH,0.28,2.171,1.975,0.4326345461511479,put,-0.537857142857142,0.4747403141744136,1.11
16,2016-02-02,2.0,876.0,50,10000378.SH,0.13,2.171,1.975,0.4326345461511479,put,-0.6,0.41142793452233084,1.01
17,2016-02-02,2.05,462.0,50,10000379.SH,0.16,2.171,1.975,0.4326345461511479,put,-0.6,0.4140503587673009,1.04
18,2016-02-02,2.1,584.0,50,10000380.SH,0.2,2.171,1.975,0.4326345461511479,put,-0.6,0.44173139761155855,1.06
19,2016-02-03,2.65,25.0,49,10000292.SH,0.72,2.171,1.953,0.39547372326051816,put,-0.20493197278911554,0.6826841265232564,1.36
20,2016-02-03,2.7,135.0,49,10000293.SH,0.78,2.171,1.953,0.39547372326051816,put,-0.19701726844583958,0.7723046719229221,1.38
21,2016-02-03,2.75,11.0,49,10000294.SH,0.83,2.171,1.953,0.39547372326051816,put,-0.1851487582985,0.8016433747141959,1.41
22,2016-02-03,2.8,16.0,49,10000295.SH,0.87,2.171,1.953,0.39547372326051816,put,-0.16959887403237156,0.7677737675111294,1.43
23,2016-02-03,2.85,21.0,49,10000296.SH,0.91,2.171,1.953,0.39547372326051816,put,-0.15541601255886955,0.7216555311403274,1.46
24,2016-02-03,2.9,42.0,49,10000298.SH,0.97,2.171,1.953,0.39547372326051816,put,-0.15211445402903423,0.8207560713422299,1.48
25,2016-02-03,2.4,175.0,49,10000312.SH,0.48,2.171,1.953,0.39547372326051816,put,-0.32015306122448967,0.5746217940416932,1.23
26,2016-02-03,2.45,116.0,49,10000313.SH,0.52,2.171,1.953,0.39547372326051816,put,-0.2837519623233905,0.5561338729878068,1.25
27,2016-02-03,2.5,37.0,49,10000314.SH,0.57,2.171,1.953,0.39547372326051816,put,-0.25886143931256694,0.5894203086379768,1.28
28,2016-02-03,2.55,45.0,49,10000315.SH,0.62,2.171,1.953,0.39547372326051816,put,-0.2379855167873601,0.621541950902343,1.31
29,2016-02-03,2.6,45.0,49,10000316.SH,0.68,2.171,1.953,0.39547372326051816,put,-0.2259903961584632,0.7108753212670683,1.33
30,2016-02-03,2.35,107.0,49,10000322.SH,0.43,2.171,1.953,0.39547372326051816,put,-0.3573801613668719,0.5370726747471093,1.2
31,2016-02-03,2.3,277.0,49,10000328.SH,0.39,2.171,1.953,0.39547372326051816,put,-0.4097331240188384,0.5440443881420494,1.18
32,2016-02-03,2.25,261.0,49,10000334.SH,0.35,2.171,1.953,0.39547372326051816,put,-0.4740524781341105,0.5439660676779746,1.15
33,2016-02-03,2.15,300.0,49,10000347.SH,0.25,2.171,1.953,0.39547372326051816,put,-0.6122448979591837,0.44791084646427637,1.1
34,2016-02-03,2.2,190.0,49,10000348.SH,0.29,2.171,1.953,0.39547372326051816,put,-0.5510204081632646,0.45609295077547435,1.13
35,2016-02-03,2.0,860.0,49,10000378.SH,0.14,2.171,1.953,0.39547372326051816,put,-0.6122448979591837,0.41114749480888246,1.02
36,2016-02-03,2.05,372.0,49,10000379.SH,0.17,2.171,1.953,0.39547372326051816,put,-0.6122448979591837,0.4086449950492382,1.05
37,2016-02-03,2.1,498.0,49,10000380.SH,0.21,2.171,1.953,0.39547372326051816,put,-0.6122448979591837,0.43222052761876584,1.08
