,Unnamed: 0_otm,交易日期,行权价_otm,成交量(手)_otm,到期剩余天数_otm,期权代码_otm,收盘价_otm,到期ETF收盘价_otm,现期ETF收盘价_otm,monthly_RV_otm,option_type_otm,期权收益率_otm,IV_otm,在值程度_otm,Unnamed: 0_atm,行权价_atm,成交量(手)_atm,到期剩余天数_atm,期权代码_atm,收盘价_atm,到期ETF收盘价_atm,现期ETF收盘价_atm,monthly_RV_atm,option_type_atm,期权收益率_atm,IV_atm,在值程度_atm,Unnamed: 0_itm,行权价_itm,成交量(手)_itm,到期剩余天数_itm,期权代码_itm,收盘价_itm,到期ETF收盘价_itm,现期ETF收盘价_itm,monthly_RV_itm,option_type_itm,期权收益率_itm,IV_itm,在值程度_itm,Return
0,17,2016-02-02,2.05,1915.0,50,10000375.SH,0.06,2.171,1.975,0.4326345461511479,call,0.61,0.3040453330699205,1.04,0,1.95,941.0,50,10000373.SH,0.1,2.171,1.975,0.4326345461511479,call,0.7259999999999992,0.2887335035294889,1,2,1.9,642.0,50,10000401.SH,0.12,2.171,1.975,0.4326345461511479,call,0.7549999999999997,0.2536062389504909,0.96,-0.01799999999999988
1,54,2016-02-04,2.05,1358.0,48,10000375.SH,0.06,2.171,1.978,0.3996177842023125,call,0.6354166666666666,0.306285930151373,1.04,2,1.95,1214.0,48,10000373.SH,0.09,2.171,1.978,0.3996177842023125,call,0.9097222222222212,0.2530653270696103,1,8,1.9,1253.0,48,10000401.SH,0.12,2.171,1.978,0.3996177842023125,call,0.786458333333333,0.251189331417948,0.96,-0.03124999999999989
2,272,2016-03-14,2.15,3963.0,44,10000579.SH,0.05,2.144,2.076,0.3073288921187354,call,-0.6818181818181818,0.2718591986121536,1.04,18,2.05,4560.0,44,10000577.SH,0.09,2.144,2.076,0.3073288921187354,call,0.0303030303030326,0.2561069505716861,1,62,2.0,1402.0,44,10000576.SH,0.11,2.144,2.076,0.3073288921187354,call,0.2107438016528933,0.2153981906373799,0.96,-0.016363636363636698
3,440,2016-05-11,2.15,3798.0,42,10000459.SH,0.02,2.124,2.077,0.1280584932120271,call,-0.7142857142857143,0.1611931577347219,1.04,58,2.05,2533.0,42,10000529.SH,0.06,2.124,2.077,0.1280584932120271,call,0.1666666666666702,0.1498654794729352,1,238,2.0,821.0,42,10000535.SH,0.09,2.124,2.077,0.1280584932120271,call,0.2698412698412707,0.1240900597739815,0.96,-0.010000000000000326
4,488,2016-05-17,2.15,4793.0,36,10000459.SH,0.0136,2.124,2.077,0.1132803719792121,call,-0.8333333333333334,0.1453166340720355,1.04,62,2.05,3712.0,36,10000529.SH,0.05,2.124,2.077,0.1132803719792121,call,0.4000000000000048,0.1226861326729059,1,258,2.0,2302.0,36,10000535.SH,0.08,2.124,2.077,0.1132803719792121,call,0.4583333333333345,,0.96,-0.014666666666667053
5,560,2016-05-25,2.15,7802.0,28,10000459.SH,0.0087,2.124,2.074,0.1092715598572987,call,-1.0714285714285714,0.1413657421685457,1.04,68,2.05,16816.0,28,10000529.SH,0.04,2.124,2.074,0.1092715598572987,call,0.9107142857142934,0.103951329303801,1,288,2.0,6648.0,28,10000535.SH,0.08,2.124,2.074,0.1092715598572987,call,0.5892857142857157,0.1030991025189161,0.96,-0.03503571428571478
6,572,2016-05-26,2.15,12034.0,27,10000459.SH,0.0078,2.124,2.074,0.1087584622615028,call,-1.1111111111111112,0.1382640372145772,1.04,69,2.05,25224.0,27,10000529.SH,0.04,2.124,2.074,0.1087584622615028,call,0.9444444444444524,0.1062935522537827,1,293,2.0,10189.0,27,10000535.SH,0.08,2.124,2.074,0.1087584622615028,call,0.6111111111111127,0.1062383583803177,0.96,-0.035333333333333855
7,700,2016-08-17,2.4,11472.0,42,10000687.SH,0.02,2.219,2.3,0.1488471048893028,call,-0.7142857142857143,0.1716207467058003,1.04,113,2.3,17303.0,42,10000599.SH,0.05,2.219,2.3,0.1488471048893028,call,-0.7142857142857143,0.1508413858338892,1,500,2.2,4565.0,42,10000591.SH,0.12,2.219,2.3,0.1488471048893028,call,-0.601190476190478,0.1655900709720552,0.96,-0.015000000000000221
8,706,2016-08-19,2.4,7357.0,40,10000687.SH,0.02,2.219,2.301,0.1477576911669082,call,-0.75,0.1751079743094146,1.04,115,2.3,15575.0,40,10000599.SH,0.05,2.219,2.301,0.1477576911669082,call,-0.75,0.1533001954107583,1,520,2.2,5674.0,40,10000591.SH,0.11,2.219,2.301,0.1477576911669082,call,-0.6204545454545476,0.1078206224893927,0.96,-0.008250000000000236
9,752,2016-09-12,2.35,10730.0,44,10000702.SH,0.02,2.311,2.25,0.1491042364326246,call,-0.6818181818181818,0.1711723411873579,1.04,130,2.25,10322.0,44,10000700.SH,0.05,2.311,2.25,0.1491042364326246,call,0.1499999999999992,0.1504047224245965,1,630,2.15,4993.0,44,10000709.SH,0.11,2.311,2.25,0.1491042364326246,call,0.3161157024793389,0.109209767645955,0.96,0.006136363636363736
10,773,2016-09-23,2.35,8339.0,33,10000702.SH,0.0081,2.311,2.249,0.0748824839560931,call,-0.9090909090909092,0.139720654795289,1.04,137,2.25,17808.0,33,10000700.SH,0.03,2.311,2.249,0.0748824839560931,call,0.9393939393939376,0.1042978705352544,1,644,2.15,3549.0,33,10000709.SH,0.1,2.311,2.249,0.0748824839560931,call,0.5545454545454548,,0.96,-0.008272727272727144
11,803,2016-10-17,2.35,6429.0,37,10000723.SH,0.0054,2.415,2.25,0.0940449843805975,call,8.94894894894894,0.1143207441706657,1.04,148,2.25,14641.0,37,10000716.SH,0.03,2.415,2.25,0.0940449843805975,call,3.6486486486486505,0.0955940470291972,1,673,2.15,4078.0,37,10000714.SH,0.1,2.415,2.25,0.0940449843805975,call,1.3378378378378388,,0.96,-0.03681081081081082
12,843,2016-11-22,2.5,24696.0,36,10000743.SH,0.0084,2.278,2.408,0.0965003026812504,call,-0.8333333333333334,0.1184574236590266,1.04,168,2.4,56101.0,36,10000691.SH,0.04,2.278,2.408,0.0965003026812504,call,-0.8333333333333334,0.1091265596034526,1,797,2.3,22640.0,36,10000661.SH,0.11,2.278,2.408,0.0965003026812504,call,-0.8333333333333334,,0.96,-0.03200000000000001
13,849,2016-11-25,2.55,20148.0,33,10000759.SH,0.0063,2.278,2.451,0.0909131062950011,call,-0.9090909090909092,0.1161565663118362,1.04,171,2.45,67833.0,33,10000692.SH,0.03,2.278,2.451,0.0909131062950011,call,-0.9090909090909092,0.0913800007506013,1,825,2.35,48303.0,33,10000669.SH,0.1,2.278,2.451,0.0909131062950011,call,-0.9090909090909092,,0.96,-0.042090909090909095
14,851,2016-11-28,2.55,54969.0,30,10000759.SH,0.0131,2.278,2.46,0.08900517688116,call,-1.0,0.1498539161776304,1.04,172,2.45,107404.0,30,10000692.SH,0.04,2.278,2.46,0.08900517688116,call,-1.0,0.1145982036533653,1,835,2.35,41642.0,30,10000669.SH,0.12,2.278,2.46,0.08900517688116,call,-1.0,0.1399070980309248,0.96,-0.053099999999999994
15,921,2016-12-16,2.4,3424.0,40,10000752.SH,0.02,2.357,2.301,0.1565595833064847,call,-0.75,0.1751079743094146,1.04,197,2.3,2214.0,40,10000750.SH,0.05,2.357,2.301,0.1565595833064847,call,0.1050000000000057,0.1533001954107583,1,927,2.2,1717.0,40,10000825.SH,0.11,2.357,2.301,0.1565595833064847,call,0.3204545454545456,0.1078206224893927,0.96,0.009749999999999447
