,Unnamed: 0_otm,交易日期,行权价_otm,成交量(手)_otm,到期剩余天数_otm,期权代码_otm,收盘价_otm,到期ETF收盘价_otm,现期ETF收盘价_otm,monthly_RV_otm,option_type_otm,期权收益率_otm,IV_otm,在值程度_otm,Unnamed: 0_call_straddle,行权价_call_straddle,成交量(手)_call_straddle,到期剩余天数_call_straddle,期权代码_call_straddle,收盘价_call_straddle,到期ETF收盘价_call_straddle,现期ETF收盘价_call_straddle,monthly_RV_call_straddle,option_type_call_straddle,期权收益率_call_straddle,IV_call_straddle,在值程度_call_straddle,Unnamed: 0_put_straddle,行权价_put_straddle,成交量(手)_put_straddle,到期剩余天数_put_straddle,期权代码_put_straddle,收盘价_put_straddle,到期ETF收盘价_put_straddle,现期ETF收盘价_put_straddle,monthly_RV_put_straddle,option_type_put_straddle,期权收益率_put_straddle,IV_put_straddle,在值程度_put_straddle,Return_straddle,Return
0,1,2016-02-02,1.85,2685.0,50,10000403.SH,0.06,2.171,1.975,0.4326345461511479,put,-0.6,0.4035740728257894,0.94,0,1.95,941.0,50,10000373.SH,0.1,2.171,1.975,0.4326345461511479,call,0.7259999999999992,0.2887335035294889,1,0,1.95,1623.0,50,10000377.SH,0.1,2.171,1.975,0.4326345461511479,put,-0.6,0.3975412513259053,1,0.06299999999999958,0.3471428571428564
1,7,2016-02-04,1.85,2022.0,48,10000403.SH,0.05,2.171,1.978,0.3996177842023125,put,-0.625,0.3742553375805318,0.94,2,1.95,1214.0,48,10000373.SH,0.09,2.171,1.978,0.3996177842023125,call,0.9097222222222212,0.2530653270696103,1,2,1.95,1789.0,48,10000377.SH,0.09,2.171,1.978,0.3996177842023125,put,-0.625,0.3742623113204837,1,0.1423611111111106,0.4374999999999993
2,10,2016-02-05,1.85,1201.0,47,10000403.SH,0.06,2.171,1.968,0.3933336070204802,put,-0.6382978723404256,0.4072185374037027,0.94,3,1.95,1059.0,47,10000373.SH,0.09,2.171,1.968,0.3933336070204802,call,0.9290780141843962,0.2769537838677465,1,3,1.95,1146.0,47,10000377.SH,0.1,2.171,1.968,0.3933336070204802,put,-0.6382978723404256,0.3984919449347257,1,0.1041433370660689,0.4468085106382972
3,20,2016-02-17,1.9,2796.0,35,10000404.SH,0.04,2.171,2.013,0.3225671699742978,put,-0.8571428571428571,0.3574239479859769,0.94,6,2.0,5229.0,35,10000374.SH,0.07,2.171,2.013,0.3225671699742978,call,1.2367346938775483,0.2459777423031628,1,6,2.0,6489.0,35,10000378.SH,0.09,2.171,2.013,0.3225671699742978,put,-0.8571428571428571,0.3979386948985457,1,0.05892857142857036,0.364285714285713
4,24,2016-02-18,1.9,3264.0,34,10000404.SH,0.04,2.171,2.011,0.3220758363510367,put,-0.8823529411764706,0.3597687339344025,0.94,7,2.0,7091.0,34,10000374.SH,0.06,2.171,2.011,0.3220758363510367,call,1.632352941176468,0.2131831043311357,1,7,2.0,5183.0,34,10000378.SH,0.09,2.171,2.011,0.3220758363510367,put,-0.8823529411764706,0.3997927560518979,1,0.12352941176470482,0.48930481283422333
5,36,2016-02-23,1.9,4790.0,29,10000404.SH,0.02,2.171,2.03,0.3189868014943113,put,-1.0344827586206895,0.3013671785099506,0.94,10,2.0,12925.0,29,10000374.SH,0.07,2.171,2.03,0.3189868014943113,call,1.4926108374384208,0.2271872086190581,1,10,2.0,14830.0,29,10000378.SH,0.06,2.171,2.03,0.3189868014943113,put,-1.0344827586206895,0.3342790587596298,1,0.32625994694960075,0.5736677115987444
6,58,2016-03-11,1.95,1840.0,47,10000580.SH,0.06,2.144,2.066,0.3092935194711487,put,-0.6382978723404256,0.3849338023760318,0.94,17,2.0,1574.0,47,10000576.SH,0.1,2.144,2.066,0.3092935194711487,call,0.2808510638297881,0.1960092266189456,1,17,2.0,1006.0,47,10000581.SH,0.08,2.144,2.066,0.3092935194711487,put,-0.6382978723404256,0.3868596274858117,1,-0.12765957446808465,0.1276595744680858
7,61,2016-03-14,1.95,3472.0,44,10000580.SH,0.05,2.144,2.076,0.3073288921187354,put,-0.6818181818181818,0.3688500334670841,0.94,18,2.05,4560.0,44,10000577.SH,0.09,2.144,2.076,0.3073288921187354,call,0.0303030303030326,0.2561069505716861,1,18,2.05,3470.0,44,10000582.SH,0.09,2.144,2.076,0.3073288921187354,put,-0.6818181818181818,0.3685389569815397,1,-0.3257575757575746,-0.18881118881118722
8,70,2016-03-16,2.0,3821.0,42,10000581.SH,0.06,2.144,2.135,0.3078278929323906,put,-0.7142857142857143,0.4192819750327169,0.94,20,2.05,4643.0,42,10000577.SH,0.09,2.144,2.135,0.3078278929323906,call,0.0317460317460341,,1,20,2.05,5974.0,42,10000582.SH,0.08,2.144,2.135,0.3078278929323906,put,-0.7142857142857143,0.4241516124714017,1,-0.3193277310924357,-0.10389610389610188
9,74,2016-03-17,2.0,5998.0,41,10000581.SH,0.04,2.144,2.132,0.2979941734397952,put,-0.7317073170731707,0.3371241062415242,0.94,21,2.1,9977.0,41,10000578.SH,0.08,2.144,2.132,0.2979941734397952,call,-0.3292682926829264,0.210303128544867,1,21,2.1,5620.0,41,10000583.SH,0.08,2.144,2.132,0.2979941734397952,put,-0.7317073170731707,0.3455470131972135,1,-0.5304878048780486,-0.4634146341463412
10,86,2016-03-21,2.05,6963.0,37,10000582.SH,0.04,2.144,2.192,0.3059199954291365,put,-0.8108108108108109,0.3573914038662016,0.94,23,2.2,17869.0,37,10000589.SH,0.08,2.144,2.192,0.3059199954291365,call,-0.8108108108108109,0.2923414900830386,1,23,2.2,7381.0,37,10000590.SH,0.09,2.144,2.192,0.3059199954291365,put,-0.3063063063063058,0.3180299466487467,1,-0.543720190779014,-0.4615384615384612
11,99,2016-03-23,2.05,6118.0,35,10000582.SH,0.04,2.144,2.171,0.3008745172894996,put,-0.8571428571428571,0.3421552125821711,0.94,25,2.15,14513.0,35,10000579.SH,0.09,2.144,2.171,0.3008745172894996,call,-0.8571428571428571,0.2867753131137787,1,25,2.15,11092.0,35,10000584.SH,0.08,2.144,2.171,0.3008745172894996,put,-0.7928571428571451,0.3464017433759273,1,-0.8268907563025221,-0.8175824175824189
12,116,2016-03-28,2.0,6997.0,30,10000581.SH,0.02,2.144,2.121,0.2399740689438347,put,-1.0,0.2717063723793625,0.94,28,2.1,8530.0,30,10000578.SH,0.08,2.144,2.121,0.2399740689438347,call,-0.4499999999999995,0.276928213487923,1,28,2.1,10671.0,30,10000583.SH,0.06,2.144,2.121,0.2399740689438347,put,-1.0,0.2978329824697375,1,-0.6857142857142855,-0.6333333333333331
13,143,2016-04-05,2.05,1384.0,50,10000606.SH,0.04,2.074,2.175,0.2123783613207017,put,-0.6,0.292531151967883,0.94,33,2.15,710.0,50,10000603.SH,0.1,2.074,2.175,0.2123783613207017,call,-0.6,0.2608830087648631,1,33,2.15,1163.0,50,10000608.SH,0.09,2.074,2.175,0.2123783613207017,put,-0.0933333333333328,0.329987168853879,1,-0.35999999999999976,-0.2959999999999997
14,151,2016-04-07,2.0,1995.0,48,10000612.SH,0.03,2.074,2.139,0.1881403198887826,put,-0.625,0.2784449721251429,0.94,35,2.15,1336.0,48,10000603.SH,0.07,2.074,2.139,0.1881403198887826,call,-0.625,0.233191539112985,1,35,2.15,1456.0,48,10000608.SH,0.1,2.074,2.139,0.1881403198887826,put,-0.1499999999999995,0.3157084065001606,1,-0.3455882352941174,-0.2857142857142855
15,153,2016-04-08,2.0,2273.0,47,10000612.SH,0.03,2.074,2.124,0.1898234267456848,put,-0.6382978723404256,0.2662949885951877,0.94,36,2.1,1171.0,47,10000602.SH,0.09,2.074,2.124,0.1898234267456848,call,-0.6382978723404256,0.2448568775185942,1,36,2.1,1565.0,47,10000607.SH,0.07,2.074,2.124,0.1898234267456848,put,-0.4012158054711224,0.2792123219383061,1,-0.5345744680851054,-0.5106382978723393
16,163,2016-04-14,2.05,3902.0,41,10000606.SH,0.02,2.074,2.174,0.1755624323134291,put,-0.7317073170731707,0.2315466901581883,0.94,40,2.2,3191.0,41,10000604.SH,0.06,2.074,2.174,0.1755624323134291,call,-0.7317073170731707,0.2386593684675395,1,40,2.2,1408.0,41,10000609.SH,0.08,2.074,2.174,0.1755624323134291,put,0.4207317073170762,0.2376367320884466,1,-0.07317073170731535,0.03658536585366052
17,167,2016-04-15,2.05,2791.0,40,10000606.SH,0.02,2.074,2.178,0.1729909033239922,put,-0.75,0.2382629381733537,0.94,41,2.2,4049.0,40,10000604.SH,0.06,2.074,2.178,0.1729909033239922,call,-0.75,0.2352356197788715,1,41,2.2,2774.0,40,10000609.SH,0.08,2.074,2.178,0.1729909033239922,put,0.4312500000000031,0.2476465523131788,1,-0.07499999999999823,0.03750000000000203
