,Unnamed: 0_atm,交易日期,行权价_atm,成交量(手)_atm,到期剩余天数_atm,期权代码_atm,收盘价_atm,到期ETF收盘价_atm,现期ETF收盘价_atm,monthly_RV_atm,option_type_atm,期权收益率_atm,IV_atm,在值程度_atm,Unnamed: 0_otm,行权价_otm,成交量(手)_otm,到期剩余天数_otm,期权代码_otm,收盘价_otm,到期ETF收盘价_otm,现期ETF收盘价_otm,monthly_RV_otm,option_type_otm,期权收益率_otm,IV_otm,在值程度_otm,Return
0,0,2016-02-02,1.95,941.0,50,10000373.SH,0.1,2.171,1.975,0.4326345461511479,call,0.7259999999999992,0.2887335035294889,1,17,2.05,1915.0,50,10000375.SH,0.06,2.171,1.975,0.4326345461511479,call,0.61,0.3040453330699205,1.04,0.8999999999999976
1,2,2016-02-04,1.95,1214.0,48,10000373.SH,0.09,2.171,1.978,0.3996177842023125,call,0.9097222222222212,0.2530653270696103,1,54,2.05,1358.0,48,10000375.SH,0.06,2.171,1.978,0.3996177842023125,call,0.6354166666666666,0.306285930151373,1.04,1.4583333333333306
2,3,2016-02-05,1.95,1059.0,47,10000373.SH,0.09,2.171,1.968,0.3933336070204802,call,0.9290780141843962,0.2769537838677465,1,73,2.05,925.0,47,10000375.SH,0.05,2.171,1.968,0.3933336070204802,call,0.9063829787234042,0.2872945289148091,1.04,0.9574468085106363
3,4,2016-02-15,1.9,1781.0,37,10000401.SH,0.09,2.171,1.949,0.3421824463181192,call,1.63063063063063,0.2437535960954428,1,92,2.0,3016.0,37,10000374.SH,0.05,2.171,1.949,0.3421824463181192,call,1.9621621621621597,0.2825872544473111,1.03,1.2162162162162184
4,6,2016-02-17,2.0,5229.0,35,10000374.SH,0.07,2.171,2.013,0.3225671699742978,call,1.2367346938775483,0.2459777423031628,1,130,2.1,1983.0,35,10000376.SH,0.03,2.171,2.013,0.3225671699742978,call,1.1714285714285635,0.247442406506896,1.04,1.2857142857142871
5,7,2016-02-18,2.0,7091.0,34,10000374.SH,0.06,2.171,2.011,0.3220758363510367,call,1.632352941176468,0.2131831043311357,1,147,2.1,5258.0,34,10000376.SH,0.03,2.171,2.011,0.3220758363510367,call,1.2058823529411686,0.2541048911593556,1.04,2.0588235294117676
6,10,2016-02-23,2.0,12925.0,29,10000374.SH,0.07,2.171,2.03,0.3189868014943113,call,1.4926108374384208,0.2271872086190581,1,200,2.1,6217.0,29,10000376.SH,0.03,2.171,2.03,0.3189868014943113,call,1.4137931034482667,0.2461114950591623,1.03,1.5517241379310365
7,11,2016-02-24,2.0,16377.0,28,10000374.SH,0.07,2.171,2.039,0.3194853685937465,call,1.5459183673469357,0.2045962250796556,1,218,2.1,6086.0,28,10000376.SH,0.03,2.171,2.039,0.3194853685937465,call,1.4642857142857049,0.2358241557471155,1.03,1.607142857142859
8,12,2016-02-25,1.9,5502.0,27,10000401.SH,0.08,2.171,1.936,0.345928314650041,call,2.652777777777777,0.2803926125240027,1,236,2.0,30813.0,27,10000374.SH,0.03,2.171,1.936,0.345928314650041,call,5.222222222222216,0.2582018739741445,1.03,1.1111111111111132
9,14,2016-03-08,2.05,1557.0,50,10000577.SH,0.11,2.144,2.115,0.3105904761520838,call,-0.0872727272727256,0.2228787486303448,1,260,2.2,2753.0,50,10000589.SH,0.05,2.144,2.115,0.3105904761520838,call,-0.6,0.2619396197744906,1.04,0.340000000000003
