,Unnamed: 0_atm,交易日期,行权价_atm,成交量(手)_atm,到期剩余天数_atm,期权代码_atm,收盘价_atm,到期ETF收盘价_atm,现期ETF收盘价_atm,monthly_RV_atm,option_type_atm,期权收益率_atm,IV_atm,在值程度_atm,Unnamed: 0_otm,行权价_otm,成交量(手)_otm,到期剩余天数_otm,期权代码_otm,收盘价_otm,到期ETF收盘价_otm,现期ETF收盘价_otm,monthly_RV_otm,option_type_otm,期权收益率_otm,IV_otm,在值程度_otm,Return
0,0,2016-02-02,1.95,941.0,50,10000373.SH,0.1,2.171,1.975,0.4326345461511479,call,0.7259999999999992,0.2887335035294889,1,18,2.1,1981.0,50,10000376.SH,0.05,2.171,1.975,0.4326345461511479,call,0.2519999999999967,0.3266446612554192,1.06,1.2000000000000015
1,2,2016-02-04,1.95,1214.0,48,10000373.SH,0.09,2.171,1.978,0.3996177842023125,call,0.9097222222222212,0.2530653270696103,1,55,2.1,1686.0,48,10000376.SH,0.04,2.171,1.978,0.3996177842023125,call,0.4843749999999958,0.2911528548512457,1.06,1.250000000000002
2,10,2016-02-23,2.0,12925.0,29,10000374.SH,0.07,2.171,2.03,0.3189868014943113,call,1.4926108374384208,0.2271872086190581,1,197,2.15,2890.0,29,10000345.SH,0.02,2.171,2.03,0.3189868014943113,call,0.0517241379310297,0.2613641372169255,1.06,2.0689655172413777
3,12,2016-02-25,1.9,5502.0,27,10000401.SH,0.08,2.171,1.936,0.345928314650041,call,2.652777777777777,0.2803926125240027,1,237,2.05,15866.0,27,10000375.SH,0.02,2.171,1.936,0.345928314650041,call,5.611111111111112,0.2762981927076579,1.06,1.6666666666666652
4,17,2016-03-11,2.0,1574.0,47,10000576.SH,0.1,2.144,2.066,0.3092935194711487,call,0.2808510638297881,0.1960092266189456,1,270,2.2,2623.0,47,10000589.SH,0.03,2.144,2.066,0.3092935194711487,call,-0.6382978723404256,0.2548577570510804,1.06,0.6747720364741652
5,18,2016-03-14,2.05,4560.0,44,10000577.SH,0.09,2.144,2.076,0.3073288921187354,call,0.0303030303030326,0.2561069505716861,1,273,2.2,4349.0,44,10000589.SH,0.04,2.144,2.076,0.3073288921187354,call,-0.6818181818181818,0.2925611926938295,1.06,0.6000000000000043
6,21,2016-03-17,2.1,9977.0,41,10000578.SH,0.08,2.144,2.132,0.2979941734397952,call,-0.3292682926829264,0.210303128544867,1,282,2.25,4549.0,41,10000593.SH,0.03,2.144,2.132,0.2979941734397952,call,-0.7317073170731707,0.2487465554825067,1.06,-0.08780487804877991
7,24,2016-03-22,2.15,8009.0,36,10000579.SH,0.1,2.144,2.169,0.3091440899463982,call,-0.8333333333333334,0.3240355288395882,1,288,2.3,8855.0,36,10000597.SH,0.04,2.144,2.169,0.3091440899463982,call,-0.8333333333333334,0.3189242542918026,1.06,-0.8333333333333334
8,25,2016-03-23,2.15,14513.0,35,10000579.SH,0.09,2.144,2.171,0.3008745172894996,call,-0.8571428571428571,0.2867753131137787,1,291,2.3,9388.0,35,10000597.SH,0.04,2.144,2.171,0.3008745172894996,call,-0.8571428571428571,0.3210247805280685,1.06,-0.8571428571428571
9,28,2016-03-28,2.1,8530.0,30,10000578.SH,0.08,2.144,2.121,0.2399740689438347,call,-0.4499999999999995,0.276928213487923,1,300,2.25,9929.0,30,10000593.SH,0.03,2.144,2.121,0.2399740689438347,call,-1.0,0.307660472177267,1.06,-0.11999999999999922
