,Unnamed: 0_atm,交易日期,行权价_atm,成交量(手)_atm,到期剩余天数_atm,期权代码_atm,收盘价_atm,到期ETF收盘价_atm,现期ETF收盘价_atm,monthly_RV_atm,option_type_atm,期权收益率_atm,IV_atm,在值程度_atm,Unnamed: 0_otm,行权价_otm,成交量(手)_otm,到期剩余天数_otm,期权代码_otm,收盘价_otm,到期ETF收盘价_otm,现期ETF收盘价_otm,monthly_RV_otm,option_type_otm,期权收益率_otm,IV_otm,在值程度_otm,Return
0,0,2016-02-02,1.95,1623.0,50,10000377.SH,0.1,2.171,1.975,0.4326345461511479,put,-0.6,0.3975412513259053,1,2,1.9,1873.0,50,10000404.SH,0.08,2.171,1.975,0.4326345461511479,put,-0.6,0.406660042161405,0.96,-0.6
1,1,2016-02-03,1.95,1213.0,49,10000377.SH,0.11,2.171,1.953,0.3954737232605181,put,-0.6122448979591837,0.4022561551841199,1,5,1.9,1298.0,49,10000404.SH,0.08,2.171,1.953,0.3954737232605181,put,-0.6122448979591837,0.3804337731547951,0.97,-0.6122448979591837
2,2,2016-02-04,1.95,1789.0,48,10000377.SH,0.09,2.171,1.978,0.3996177842023125,put,-0.625,0.3742623113204837,1,8,1.9,2080.0,48,10000404.SH,0.07,2.171,1.978,0.3996177842023125,put,-0.625,0.3812660919982791,0.96,-0.625
3,3,2016-02-05,1.95,1146.0,47,10000377.SH,0.1,2.171,1.968,0.3933336070204802,put,-0.6382978723404256,0.3984919449347257,1,11,1.9,723.0,47,10000404.SH,0.07,2.171,1.968,0.3933336070204802,put,-0.6382978723404256,0.3716070449326635,0.97,-0.6382978723404256
4,6,2016-02-17,2.0,6489.0,35,10000378.SH,0.09,2.171,2.013,0.3225671699742978,put,-0.8571428571428571,0.3979386948985457,1,17,1.95,2993.0,35,10000377.SH,0.06,2.171,2.013,0.3225671699742978,put,-0.8571428571428571,0.3669329106310904,0.97,-0.8571428571428571
5,7,2016-02-18,2.0,5183.0,34,10000378.SH,0.09,2.171,2.011,0.3220758363510367,put,-0.8823529411764706,0.3997927560518979,1,21,1.95,2690.0,34,10000377.SH,0.06,2.171,2.011,0.3220758363510367,put,-0.8823529411764706,0.3689263273742498,0.97,-0.8823529411764706
6,8,2016-02-19,2.0,8302.0,33,10000378.SH,0.08,2.171,2.006,0.3212954329613362,put,-0.9090909090909092,0.3542638901139497,1,25,1.95,3308.0,33,10000377.SH,0.05,2.171,2.006,0.3212954329613362,put,-0.9090909090909092,0.3220633313393592,0.97,-0.9090909090909091
7,10,2016-02-23,2.0,14830.0,29,10000378.SH,0.06,2.171,2.03,0.3189868014943113,put,-1.0344827586206895,0.3342790587596298,1,33,1.95,4775.0,29,10000377.SH,0.04,2.171,2.03,0.3189868014943113,put,-1.0344827586206895,0.3331415642874836,0.96,-1.0344827586206897
8,11,2016-02-24,2.0,13692.0,28,10000378.SH,0.06,2.171,2.039,0.3194853685937465,put,-1.0714285714285714,0.3565881124702097,1,37,1.95,6116.0,28,10000377.SH,0.04,2.171,2.039,0.3194853685937465,put,-1.0714285714285714,0.3527399193183185,0.96,-1.0714285714285714
9,12,2016-02-25,1.9,15456.0,27,10000404.SH,0.06,2.171,1.936,0.345928314650041,put,-1.1111111111111112,0.3755720035252869,1,42,1.85,10257.0,27,10000403.SH,0.04,2.171,1.936,0.345928314650041,put,-1.1111111111111112,0.3727510959124565,0.96,-1.1111111111111112
10,13,2016-02-26,1.95,17382.0,26,10000377.SH,0.07,2.171,1.956,0.3455153340238446,put,-1.1538461538461535,0.3587601046398282,1,45,1.9,14342.0,26,10000404.SH,0.05,2.171,1.956,0.3455153340238446,put,-1.1538461538461535,0.3703458112798333,0.97,-1.1538461538461537
11,16,2016-03-10,2.05,1225.0,48,10000582.SH,0.11,2.144,2.059,0.3127449636796993,put,-0.625,0.3961034091989099,1,55,2.0,1330.0,48,10000581.SH,0.08,2.144,2.059,0.3127449636796993,put,-0.625,0.3737191940688491,0.97,-0.625
12,18,2016-03-14,2.05,3470.0,44,10000582.SH,0.09,2.144,2.076,0.3073288921187354,put,-0.6818181818181818,0.3685389569815397,1,62,2.0,3212.0,44,10000581.SH,0.07,2.144,2.076,0.3073288921187354,put,-0.6818181818181818,0.3756859079445003,0.96,-0.6818181818181818
13,21,2016-03-17,2.1,5620.0,41,10000583.SH,0.08,2.144,2.132,0.2979941734397952,put,-0.7317073170731707,0.3455470131972135,1,75,2.05,5505.0,41,10000582.SH,0.06,2.144,2.132,0.2979941734397952,put,-0.7317073170731707,0.349429836630404,0.96,-0.7317073170731707
14,22,2016-03-18,2.15,5636.0,40,10000584.SH,0.1,2.144,2.14,0.2978114655372708,put,-0.7050000000000016,0.3455182241681814,1,80,2.05,5568.0,40,10000582.SH,0.05,2.144,2.14,0.2978114655372708,put,-0.75,0.3247074516641796,0.96,-0.6600000000000033
15,23,2016-03-21,2.2,7381.0,37,10000590.SH,0.09,2.144,2.192,0.3059199954291365,put,-0.3063063063063058,0.3180299466487467,1,87,2.1,8295.0,37,10000583.SH,0.05,2.144,2.192,0.3059199954291365,put,-0.8108108108108109,0.3318856354453862,0.96,0.3243243243243255
16,24,2016-03-22,2.15,7481.0,36,10000584.SH,0.08,2.144,2.169,0.3091440899463982,put,-0.7708333333333356,0.3385496102132201,1,94,2.1,5795.0,36,10000583.SH,0.06,2.144,2.169,0.3091440899463982,put,-0.8333333333333334,0.3454775738207698,0.97,-0.5833333333333424
17,25,2016-03-23,2.15,11092.0,35,10000584.SH,0.08,2.144,2.171,0.3008745172894996,put,-0.7928571428571451,0.3464017433759273,1,100,2.1,6669.0,35,10000583.SH,0.06,2.144,2.171,0.3008745172894996,put,-0.8571428571428571,0.3529984245334566,0.97,-0.6000000000000093
18,26,2016-03-24,2.15,18298.0,34,10000584.SH,0.09,2.144,2.14,0.3024979547062574,put,-0.8235294117647081,0.3347095828935802,1,105,2.05,7331.0,34,10000582.SH,0.04,2.144,2.14,0.3024979547062574,put,-0.8823529411764706,0.3075159309859573,0.96,-0.7764705882352979
19,27,2016-03-25,2.15,14886.0,33,10000584.SH,0.08,2.144,2.145,0.3024127480492692,put,-0.8409090909090934,0.3099935756211578,1,111,2.05,7040.0,33,10000582.SH,0.03,2.144,2.145,0.3024127480492692,put,-0.9090909090909092,0.2726452642744184,0.96,-0.8000000000000039
20,28,2016-03-28,2.1,10671.0,30,10000583.SH,0.06,2.144,2.121,0.2399740689438347,put,-1.0,0.2978329824697375,1,117,2.05,8098.0,30,10000582.SH,0.04,2.144,2.121,0.2399740689438347,put,-1.0,0.2992105643309951,0.97,-1.0
