,Unnamed: 0_atm,交易日期,行权价_atm,成交量(手)_atm,到期剩余天数_atm,期权代码_atm,收盘价_atm,到期ETF收盘价_atm,现期ETF收盘价_atm,monthly_RV_atm,option_type_atm,期权收益率_atm,IV_atm,在值程度_atm,Unnamed: 0_otm,行权价_otm,成交量(手)_otm,到期剩余天数_otm,期权代码_otm,收盘价_otm,到期ETF收盘价_otm,现期ETF收盘价_otm,monthly_RV_otm,option_type_otm,期权收益率_otm,IV_otm,在值程度_otm,Return
0,0,2016-02-02,1.95,1623.0,50,10000377.SH,0.1,2.171,1.975,0.4326345461511479,put,-0.6,0.3975412513259053,1,2,1.9,1873.0,50,10000404.SH,0.08,2.171,1.975,0.4326345461511479,put,-0.6,0.406660042161405,0.96,-0.6
1,2,2016-02-04,1.95,1789.0,48,10000377.SH,0.09,2.171,1.978,0.3996177842023125,put,-0.625,0.3742623113204837,1,8,1.9,2080.0,48,10000404.SH,0.07,2.171,1.978,0.3996177842023125,put,-0.625,0.3812660919982791,0.96,-0.625
2,10,2016-02-23,2.0,14830.0,29,10000378.SH,0.06,2.171,2.03,0.3189868014943113,put,-1.0344827586206895,0.3342790587596298,1,33,1.95,4775.0,29,10000377.SH,0.04,2.171,2.03,0.3189868014943113,put,-1.0344827586206895,0.3331415642874836,0.96,-1.0344827586206897
3,11,2016-02-24,2.0,13692.0,28,10000378.SH,0.06,2.171,2.039,0.3194853685937465,put,-1.0714285714285714,0.3565881124702097,1,37,1.95,6116.0,28,10000377.SH,0.04,2.171,2.039,0.3194853685937465,put,-1.0714285714285714,0.3527399193183185,0.96,-1.0714285714285714
4,12,2016-02-25,1.9,15456.0,27,10000404.SH,0.06,2.171,1.936,0.345928314650041,put,-1.1111111111111112,0.3755720035252869,1,42,1.85,10257.0,27,10000403.SH,0.04,2.171,1.936,0.345928314650041,put,-1.1111111111111112,0.3727510959124565,0.96,-1.1111111111111112
5,18,2016-03-14,2.05,3470.0,44,10000582.SH,0.09,2.144,2.076,0.3073288921187354,put,-0.6818181818181818,0.3685389569815397,1,62,2.0,3212.0,44,10000581.SH,0.07,2.144,2.076,0.3073288921187354,put,-0.6818181818181818,0.3756859079445003,0.96,-0.6818181818181818
6,21,2016-03-17,2.1,5620.0,41,10000583.SH,0.08,2.144,2.132,0.2979941734397952,put,-0.7317073170731707,0.3455470131972135,1,75,2.05,5505.0,41,10000582.SH,0.06,2.144,2.132,0.2979941734397952,put,-0.7317073170731707,0.349429836630404,0.96,-0.7317073170731707
7,22,2016-03-18,2.15,5636.0,40,10000584.SH,0.1,2.144,2.14,0.2978114655372708,put,-0.7050000000000016,0.3455182241681814,1,80,2.05,5568.0,40,10000582.SH,0.05,2.144,2.14,0.2978114655372708,put,-0.75,0.3247074516641796,0.96,-0.6600000000000033
8,23,2016-03-21,2.2,7381.0,37,10000590.SH,0.09,2.144,2.192,0.3059199954291365,put,-0.3063063063063058,0.3180299466487467,1,87,2.1,8295.0,37,10000583.SH,0.05,2.144,2.192,0.3059199954291365,put,-0.8108108108108109,0.3318856354453862,0.96,0.3243243243243255
9,26,2016-03-24,2.15,18298.0,34,10000584.SH,0.09,2.144,2.14,0.3024979547062574,put,-0.8235294117647081,0.3347095828935802,1,105,2.05,7331.0,34,10000582.SH,0.04,2.144,2.14,0.3024979547062574,put,-0.8823529411764706,0.3075159309859573,0.96,-0.7764705882352979
10,27,2016-03-25,2.15,14886.0,33,10000584.SH,0.08,2.144,2.145,0.3024127480492692,put,-0.8409090909090934,0.3099935756211578,1,111,2.05,7040.0,33,10000582.SH,0.03,2.144,2.145,0.3024127480492692,put,-0.9090909090909092,0.2726452642744184,0.96,-0.8000000000000039
11,35,2016-04-07,2.15,1456.0,48,10000608.SH,0.1,2.074,2.139,0.1881403198887826,put,-0.1499999999999995,0.3157084065001606,1,149,2.05,869.0,48,10000606.SH,0.05,2.074,2.139,0.1881403198887826,put,-0.625,0.2966036372859179,0.96,0.32500000000000084
12,37,2016-04-11,2.15,2103.0,44,10000608.SH,0.09,2.074,2.144,0.1917268286805737,put,-0.1060606060606055,0.3031664034175276,1,154,2.05,1532.0,44,10000606.SH,0.04,2.074,2.144,0.1917268286805737,put,-0.6818181818181818,0.2765895996702611,0.96,0.3545454545454556
13,38,2016-04-12,2.15,1780.0,43,10000608.SH,0.08,2.074,2.142,0.1723668604674589,put,-0.0348837209302319,0.2690265488901734,1,157,2.05,1234.0,43,10000606.SH,0.04,2.074,2.142,0.1723668604674589,put,-0.6976744186046512,0.2772976428915262,0.96,0.6279069767441873
14,41,2016-04-15,2.2,2774.0,40,10000609.SH,0.08,2.074,2.178,0.1729909033239922,put,0.4312500000000031,0.2476465523131788,1,168,2.1,2379.0,40,10000607.SH,0.04,2.074,2.178,0.1729909033239922,put,-0.2624999999999954,0.2636319736074209,0.96,1.1250000000000018
15,45,2016-04-21,2.15,8726.0,34,10000608.SH,0.07,2.074,2.146,0.1473595890364776,put,0.075630252100841,0.2692013096212744,1,180,2.05,9047.0,34,10000606.SH,0.03,2.074,2.146,0.1473595890364776,put,-0.8823529411764706,0.2700242109355927,0.96,0.7941176470588246
16,47,2016-04-25,2.15,11668.0,30,10000608.SH,0.06,2.074,2.145,0.1452893611797619,put,0.2666666666666679,0.2426851833720505,1,186,2.05,6220.0,30,10000606.SH,0.02,2.074,2.145,0.1452893611797619,put,-1.0,0.234249640237987,0.96,0.9000000000000019
17,49,2016-04-27,2.15,14768.0,28,10000608.SH,0.06,2.074,2.144,0.1376023813586203,put,0.2857142857142871,0.2485387141900957,1,192,2.05,5489.0,28,10000606.SH,0.02,2.074,2.144,0.1376023813586203,put,-1.0714285714285714,0.240831539451003,0.96,0.9642857142857163
18,50,2016-04-28,2.15,25275.0,27,10000608.SH,0.06,2.074,2.142,0.1318058537482821,put,0.2962962962962977,0.2485335881932079,1,195,2.05,8686.0,27,10000606.SH,0.02,2.074,2.142,0.1318058537482821,put,-1.1111111111111112,0.2424512352582812,0.96,1.0000000000000022
19,51,2016-04-29,2.15,15210.0,26,10000608.SH,0.06,2.074,2.135,0.1290755275562051,put,0.3076923076923091,0.2372777334924638,1,198,2.05,7039.0,26,10000606.SH,0.02,2.074,2.135,0.1290755275562051,put,-1.1538461538461535,0.2374421826251745,0.96,1.0384615384615405
20,58,2016-05-11,2.05,2736.0,42,10000530.SH,0.05,2.124,2.077,0.1280584932120271,put,-0.7142857142857143,0.2329112782133817,1,238,2.0,3940.0,42,10000536.SH,0.03,2.124,2.077,0.1280584932120271,put,-0.7142857142857143,0.2278682509497404,0.96,-0.7142857142857143
21,59,2016-05-12,2.05,6422.0,41,10000530.SH,0.05,2.124,2.083,0.1235453892961177,put,-0.7317073170731707,0.2444386915399432,1,243,2.0,9657.0,41,10000536.SH,0.03,2.124,2.083,0.1235453892961177,put,-0.7317073170731707,0.2376698126497566,0.96,-0.7317073170731707
22,60,2016-05-13,2.05,2658.0,40,10000530.SH,0.05,2.124,2.079,0.1235543441382964,put,-0.75,0.2412724943925738,1,248,2.0,3894.0,40,10000536.SH,0.03,2.124,2.079,0.1235543441382964,put,-0.75,0.2356028438117205,0.96,-0.75
23,61,2016-05-16,2.05,4394.0,37,10000530.SH,0.04,2.124,2.081,0.1144600816725471,put,-0.8108108108108109,0.2140901673617959,1,253,2.0,4410.0,37,10000536.SH,0.02,2.124,2.081,0.1144600816725471,put,-0.8108108108108109,0.2008952553267479,0.96,-0.8108108108108109
24,62,2016-05-17,2.05,3914.0,36,10000530.SH,0.04,2.124,2.077,0.1132803719792121,put,-0.8333333333333334,0.210590780416727,1,258,2.0,6400.0,36,10000536.SH,0.02,2.124,2.077,0.1132803719792121,put,-0.8333333333333334,0.1987019247049689,0.96,-0.8333333333333334
25,63,2016-05-18,2.05,10467.0,35,10000530.SH,0.04,2.124,2.0780000000000003,0.1128100391320136,put,-0.8571428571428571,0.2149512156296968,1,263,2.0,9850.0,35,10000536.SH,0.02,2.124,2.0780000000000003,0.1128100391320136,put,-0.8571428571428571,0.2025761054689884,0.96,-0.8571428571428571
26,65,2016-05-20,2.05,9004.0,33,10000530.SH,0.03,2.124,2.083,0.1096861199940402,put,-0.9090909090909092,0.1868783956512212,1,273,2.0,5928.0,33,10000536.SH,0.02,2.124,2.083,0.1096861199940402,put,-0.9090909090909092,0.214528142072618,0.96,-0.9090909090909091
27,66,2016-05-23,2.05,12986.0,30,10000530.SH,0.03,2.124,2.084,0.1087887918927282,put,-1.0,0.1969524100462794,1,278,2.0,10422.0,30,10000536.SH,0.0118,2.124,2.084,0.1087887918927282,put,-1.0,0.1793443723186254,0.96,-1.0
