,Unnamed: 0_call,交易日期,行权价_call,成交量(手)_call,到期剩余天数_call,期权代码_call,收盘价_call,到期ETF收盘价_call,现期ETF收盘价_call,monthly_RV_call,option_type_call,期权收益率_call,IV_call,在值程度_call,Unnamed: 0_put,行权价_put,成交量(手)_put,到期剩余天数_put,期权代码_put,收盘价_put,到期ETF收盘价_put,现期ETF收盘价_put,monthly_RV_put,option_type_put,期权收益率_put,IV_put,在值程度_put,Return
0,0,2016-02-02,1.95,941.0,50,10000373.SH,0.1,2.171,1.975,0.4326345461511479,call,0.0241999999999999,0.2887335035294889,1,0,1.95,1623.0,50,10000377.SH,0.1,2.171,1.975,0.4326345461511479,put,-0.02,0.3975412513259053,1,0.06299999999999958
1,1,2016-02-03,1.95,1709.0,49,10000373.SH,0.09,2.171,1.953,0.3954737232605181,call,0.029705215419501,0.300011769565463,1,1,1.95,1213.0,49,10000377.SH,0.11,2.171,1.953,0.3954737232605181,put,-0.0204081632653061,0.4022561551841199,1,0.06428571428571386
2,2,2016-02-04,1.95,1214.0,48,10000373.SH,0.09,2.171,1.978,0.3996177842023125,call,0.030324074074074,0.2530653270696103,1,2,1.95,1789.0,48,10000377.SH,0.09,2.171,1.978,0.3996177842023125,put,-0.0208333333333333,0.3742623113204837,1,0.1423611111111106
3,3,2016-02-05,1.95,1059.0,47,10000373.SH,0.09,2.171,1.968,0.3933336070204802,call,0.0309692671394798,0.2769537838677465,1,3,1.95,1146.0,47,10000377.SH,0.1,2.171,1.968,0.3933336070204802,put,-0.0212765957446808,0.3984919449347257,1,0.1041433370660689
4,4,2016-02-15,1.9,1781.0,37,10000401.SH,0.09,2.171,1.949,0.3421824463181192,call,0.0543543543543543,0.2437535960954428,1,4,1.9,2431.0,37,10000404.SH,0.08,2.171,1.949,0.3421824463181192,put,-0.027027027027027,0.4285829771761894,1,0.4817170111287756
5,5,2016-02-16,1.95,3810.0,36,10000373.SH,0.09,2.171,2.001,0.3490985688381217,call,0.040432098765432,0.2351607563824653,1,5,1.95,3709.0,36,10000377.SH,0.07,2.171,2.001,0.3490985688381217,put,-0.0277777777777777,0.3851670948390364,1,0.3177083333333327
6,6,2016-02-17,2.0,5229.0,35,10000374.SH,0.07,2.171,2.013,0.3225671699742978,call,0.0412244897959182,0.2459777423031628,1,6,2.0,6489.0,35,10000378.SH,0.09,2.171,2.013,0.3225671699742978,put,-0.0285714285714285,0.3979386948985457,1,0.05892857142857036
7,7,2016-02-18,2.0,7091.0,34,10000374.SH,0.06,2.171,2.011,0.3220758363510367,call,0.0544117647058822,0.2131831043311357,1,7,2.0,5183.0,34,10000378.SH,0.09,2.171,2.011,0.3220758363510367,put,-0.0294117647058823,0.3997927560518979,1,0.12352941176470482
8,8,2016-02-19,2.0,5943.0,33,10000374.SH,0.06,2.171,2.006,0.3212954329613362,call,0.0560606060606059,0.2282022752120494,1,8,2.0,8302.0,33,10000378.SH,0.08,2.171,2.006,0.3212954329613362,put,-0.0303030303030303,0.3542638901139497,1,0.20129870129869998
9,9,2016-02-22,2.0,16140.0,30,10000374.SH,0.07,2.171,2.0540000000000003,0.3311881369244119,call,0.048095238095238,0.1444726923286318,1,9,2.0,15345.0,30,10000378.SH,0.05,2.171,2.0540000000000003,0.3311881369244119,put,-0.0333333333333333,0.3256748941698074,1,0.42499999999999827
10,10,2016-02-23,2.0,12925.0,29,10000374.SH,0.07,2.171,2.03,0.3189868014943113,call,0.0497536945812806,0.2271872086190581,1,10,2.0,14830.0,29,10000378.SH,0.06,2.171,2.03,0.3189868014943113,put,-0.0344827586206896,0.3342790587596298,1,0.32625994694960075
11,11,2016-02-24,2.0,16377.0,28,10000374.SH,0.07,2.171,2.039,0.3194853685937465,call,0.0515306122448978,0.2045962250796556,1,11,2.0,13692.0,28,10000378.SH,0.06,2.171,2.039,0.3194853685937465,put,-0.0357142857142857,0.3565881124702097,1,0.3379120879120865
12,12,2016-02-25,1.9,5502.0,27,10000401.SH,0.08,2.171,1.936,0.345928314650041,call,0.0884259259259258,0.2803926125240027,1,12,1.9,15456.0,27,10000404.SH,0.06,2.171,1.936,0.345928314650041,put,-0.037037037037037,0.3755720035252869,1,1.0396825396825387
13,13,2016-02-26,1.95,17002.0,26,10000373.SH,0.06,2.171,1.956,0.3455153340238446,call,0.1032051282051281,0.2660843458858729,1,13,1.95,17382.0,26,10000377.SH,0.07,2.171,1.956,0.3455153340238446,put,-0.0384615384615384,0.3587601046398282,1,0.8076923076923063
14,14,2016-03-08,2.05,1557.0,50,10000577.SH,0.11,2.144,2.115,0.3105904761520838,call,-0.0029090909090908,0.2228787486303448,1,14,2.05,1423.0,50,10000582.SH,0.09,2.144,2.115,0.3105904761520838,put,-0.02,0.3991917627191245,1,-0.31799999999999906
15,15,2016-03-09,2.05,1828.0,49,10000577.SH,0.09,2.144,2.107,0.303583418059936,call,0.0009070294784581,0.1725771623576581,1,15,2.05,1311.0,49,10000582.SH,0.1,2.144,2.107,0.303583418059936,put,-0.0204081632653061,0.4264105081696511,1,-0.3093447905477971
16,16,2016-03-10,2.05,893.0,48,10000577.SH,0.08,2.144,2.059,0.3127449636796993,call,0.0036458333333334,0.2431372247720062,1,16,2.05,1225.0,48,10000582.SH,0.11,2.144,2.059,0.3127449636796993,put,-0.0208333333333333,0.3961034091989099,1,-0.31578947368420957
17,17,2016-03-11,2.0,1574.0,47,10000576.SH,0.1,2.144,2.066,0.3092935194711487,call,0.0093617021276596,0.1960092266189456,1,17,2.0,1006.0,47,10000581.SH,0.08,2.144,2.066,0.3092935194711487,put,-0.0212765957446808,0.3868596274858117,1,-0.12765957446808465
18,18,2016-03-14,2.05,4560.0,44,10000577.SH,0.09,2.144,2.076,0.3073288921187354,call,0.001010101010101,0.2561069505716861,1,18,2.05,3470.0,44,10000582.SH,0.09,2.144,2.076,0.3073288921187354,put,-0.0227272727272727,0.3685389569815397,1,-0.3257575757575746
19,19,2016-03-15,2.05,4628.0,43,10000577.SH,0.09,2.144,2.0980000000000003,0.3074408687186415,call,0.0010335917312662,0.2095329177101851,1,19,2.05,4158.0,43,10000582.SH,0.09,2.144,2.0980000000000003,0.3074408687186415,put,-0.0232558139534883,0.405139766851902,1,-0.33333333333333215
20,20,2016-03-16,2.05,4643.0,42,10000577.SH,0.09,2.144,2.135,0.3078278929323906,call,0.0010582010582011,,1,20,2.05,5974.0,42,10000582.SH,0.08,2.144,2.135,0.3078278929323906,put,-0.0238095238095238,0.4241516124714017,1,-0.3193277310924357
21,21,2016-03-17,2.1,9977.0,41,10000578.SH,0.08,2.144,2.132,0.2979941734397952,call,-0.0109756097560975,0.210303128544867,1,21,2.1,5620.0,41,10000583.SH,0.08,2.144,2.132,0.2979941734397952,put,-0.024390243902439,0.3455470131972135,1,-0.5304878048780486
22,22,2016-03-18,2.15,13277.0,40,10000579.SH,0.07,2.144,2.14,0.2978114655372708,call,-0.025,0.2554731747006773,1,22,2.15,5636.0,40,10000584.SH,0.1,2.144,2.14,0.2978114655372708,put,-0.0235,0.3455182241681814,1,-0.7235294117647069
23,23,2016-03-21,2.2,17869.0,37,10000589.SH,0.08,2.144,2.192,0.3059199954291365,call,-0.027027027027027,0.2923414900830386,1,23,2.2,7381.0,37,10000590.SH,0.09,2.144,2.192,0.3059199954291365,put,-0.0102102102102101,0.3180299466487467,1,-0.543720190779014
24,24,2016-03-22,2.15,8009.0,36,10000579.SH,0.1,2.144,2.169,0.3091440899463982,call,-0.0277777777777777,0.3240355288395882,1,24,2.15,7481.0,36,10000584.SH,0.08,2.144,2.169,0.3091440899463982,put,-0.0256944444444445,0.3385496102132201,1,-0.8055555555555566
25,25,2016-03-23,2.15,14513.0,35,10000579.SH,0.09,2.144,2.171,0.3008745172894996,call,-0.0285714285714285,0.2867753131137787,1,25,2.15,11092.0,35,10000584.SH,0.08,2.144,2.171,0.3008745172894996,put,-0.0264285714285715,0.3464017433759273,1,-0.8268907563025221
26,26,2016-03-24,2.15,25592.0,34,10000579.SH,0.07,2.144,2.14,0.3024979547062574,call,-0.0294117647058823,0.2785764003011585,1,26,2.15,18298.0,34,10000584.SH,0.09,2.144,2.14,0.3024979547062574,put,-0.0274509803921569,0.3347095828935802,1,-0.8492647058823541
27,27,2016-03-25,2.15,20113.0,33,10000579.SH,0.07,2.144,2.145,0.3024127480492692,call,-0.0303030303030303,0.2730896762836575,1,27,2.15,14886.0,33,10000584.SH,0.08,2.144,2.145,0.3024127480492692,put,-0.0280303030303031,0.3099935756211578,1,-0.872727272727274
28,28,2016-03-28,2.1,8530.0,30,10000578.SH,0.08,2.144,2.121,0.2399740689438347,call,-0.0149999999999999,0.276928213487923,1,28,2.1,10671.0,30,10000583.SH,0.06,2.144,2.121,0.2399740689438347,put,-0.0333333333333333,0.2978329824697375,1,-0.6857142857142855
29,29,2016-03-29,2.1,14586.0,29,10000578.SH,0.07,2.144,2.104,0.2423600787367005,call,-0.0128078817733989,0.2795479555252194,1,29,2.1,12074.0,29,10000583.SH,0.06,2.144,2.104,0.2423600787367005,put,-0.0344827586206896,0.2704361980342865,1,-0.6843501326259944
30,30,2016-03-30,2.15,25300.0,28,10000579.SH,0.07,2.144,2.158,0.2486687777343064,call,-0.0357142857142857,0.2688749147496819,1,30,2.15,17424.0,28,10000584.SH,0.06,2.144,2.158,0.2486687777343064,put,-0.0321428571428572,0.2765044246754646,1,-1.021978021978024
