,交易日期,行权价_call,成交量(手)_call,到期剩余天数_call,期权代码_call,收盘价_call,到期ETF收盘价_call,现期ETF收盘价_call,monthly_RV_call,option_type_call,期权收益率_call,IV_call,在值程度_call,行权价_put,成交量(手)_put,到期剩余天数_put,期权代码_put,收盘价_put,到期ETF收盘价_put,现期ETF收盘价_put,monthly_RV_put,option_type_put,期权收益率_put,IV_put,在值程度_put,Return
0,2016-02-02,2.05,1915.0,50,10000375.SH,0.06,2.171,1.975,0.4326345461511479,call,0.0203333333333333,0.3040453330699205,1.04,1.9,1873.0,50,10000404.SH,0.08,2.171,1.975,0.4326345461511479,put,-0.02,0.406660042161405,0.96,-0.08142857142857148
1,2016-02-04,2.05,1358.0,48,10000375.SH,0.06,2.171,1.978,0.3996177842023125,call,0.0211805555555555,0.306285930151373,1.04,1.9,2080.0,48,10000404.SH,0.07,2.171,1.978,0.3996177842023125,put,-0.0208333333333333,0.3812660919982791,0.96,-0.043269230769230824
2,2016-03-14,2.15,3963.0,44,10000579.SH,0.05,2.144,2.076,0.3073288921187354,call,-0.0227272727272727,0.2718591986121536,1.04,2.0,3212.0,44,10000581.SH,0.07,2.144,2.076,0.3073288921187354,put,-0.0227272727272727,0.3756859079445003,0.96,-0.6818181818181818
3,2016-05-11,2.15,3798.0,42,10000459.SH,0.02,2.124,2.077,0.1280584932120271,call,-0.0238095238095238,0.1611931577347219,1.04,2.0,3940.0,42,10000536.SH,0.03,2.124,2.077,0.1280584932120271,put,-0.0238095238095238,0.2278682509497404,0.96,-0.7142857142857143
4,2016-05-17,2.15,4793.0,36,10000459.SH,0.0136,2.124,2.077,0.1132803719792121,call,-0.0277777777777777,0.1453166340720355,1.04,2.0,6400.0,36,10000536.SH,0.02,2.124,2.077,0.1132803719792121,put,-0.0277777777777777,0.1987019247049689,0.96,-0.8333333333333334
5,2016-05-25,2.15,7802.0,28,10000459.SH,0.0087,2.124,2.074,0.1092715598572987,call,-0.0357142857142857,0.1413657421685457,1.04,2.0,8188.0,28,10000536.SH,0.0139,2.124,2.074,0.1092715598572987,put,-0.0357142857142857,0.1854458583349585,0.96,-1.0714285714285714
6,2016-05-26,2.15,12034.0,27,10000459.SH,0.0078,2.124,2.074,0.1087584622615028,call,-0.037037037037037,0.1382640372145772,1.04,2.0,13080.0,27,10000536.SH,0.0113,2.124,2.074,0.1087584622615028,put,-0.037037037037037,0.1727705793332457,0.96,-1.1111111111111112
7,2016-08-17,2.4,11472.0,42,10000687.SH,0.02,2.219,2.3,0.1488471048893028,call,-0.0238095238095238,0.1716207467058003,1.04,2.2,8181.0,42,10000592.SH,0.0123,2.219,2.3,0.1488471048893028,put,-0.0238095238095238,0.1567276991901695,0.96,-0.7142857142857143
8,2016-08-19,2.4,7357.0,40,10000687.SH,0.02,2.219,2.301,0.1477576911669082,call,-0.025,0.1751079743094146,1.04,2.2,8386.0,40,10000592.SH,0.0128,2.219,2.301,0.1477576911669082,put,-0.025,0.1637152078080773,0.96,-0.75
9,2016-09-12,2.35,10730.0,44,10000702.SH,0.02,2.311,2.25,0.1491042364326246,call,-0.0227272727272727,0.1711723411873579,1.04,2.15,11865.0,44,10000710.SH,0.0139,2.311,2.25,0.1491042364326246,put,-0.0227272727272727,0.1643955348833799,0.96,-0.6818181818181818
10,2016-09-23,2.35,8339.0,33,10000702.SH,0.0081,2.311,2.249,0.0748824839560931,call,-0.0303030303030303,0.139720654795289,1.04,2.15,5415.0,33,10000710.SH,0.0051,2.311,2.249,0.0748824839560931,put,-0.0303030303030303,0.1325827637338041,0.96,-0.9090909090909091
11,2016-10-17,2.35,6429.0,37,10000723.SH,0.0054,2.415,2.25,0.0940449843805975,call,0.298298298298298,0.1143207441706657,1.04,2.15,5057.0,37,10000719.SH,0.0063,2.415,2.25,0.0940449843805975,put,-0.027027027027027,0.1348426131058931,0.96,3.69369369369369
12,2016-11-22,2.5,24696.0,36,10000743.SH,0.0084,2.278,2.408,0.0965003026812504,call,-0.0277777777777777,0.1184574236590266,1.04,2.3,20057.0,36,10000662.SH,0.0087,2.278,2.408,0.0965003026812504,put,0.0424648786717745,0.1492161467974185,0.96,0.23879142300193965
13,2016-11-25,2.55,20148.0,33,10000759.SH,0.0063,2.278,2.451,0.0909131062950011,call,-0.0303030303030303,0.1161565663118362,1.04,2.35,35368.0,33,10000670.SH,0.0091,2.278,2.451,0.0909131062950011,put,0.2094572094572096,0.1484877784024476,0.96,3.341204250295163
14,2016-11-28,2.55,54969.0,30,10000759.SH,0.0131,2.278,2.46,0.08900517688116,call,-0.0333333333333333,0.1498539161776304,1.04,2.35,28283.0,30,10000670.SH,0.0087,2.278,2.46,0.08900517688116,put,0.2425287356321841,0.1611075059030056,0.96,2.3027522935779845
15,2016-12-16,2.4,3424.0,40,10000752.SH,0.02,2.357,2.301,0.1565595833064847,call,-0.025,0.1751079743094146,1.04,2.2,13162.0,40,10000826.SH,0.012,2.357,2.301,0.1565595833064847,put,-0.025,0.1597230099064112,0.96,-0.75
16,2016-12-16,2.4,13893.0,40,10000779.SH,0.02,2.357,2.301,0.1565595833064847,call,-0.025,0.1751079743094146,1.04,2.2,13162.0,40,10000826.SH,0.012,2.357,2.301,0.1565595833064847,put,-0.025,0.1597230099064112,0.96,-0.75
17,2016-12-21,2.4,4005.0,35,10000752.SH,0.02,2.357,2.298,0.1540357522644946,call,-0.0285714285714285,0.191325138346672,1.04,2.2,19938.0,35,10000826.SH,0.013,2.357,2.298,0.1540357522644946,put,-0.0285714285714285,0.1724118787603378,0.96,-0.8571428571428571
18,2016-12-21,2.4,15533.0,35,10000779.SH,0.02,2.357,2.298,0.1540357522644946,call,-0.0285714285714285,0.191325138346672,1.04,2.2,19938.0,35,10000826.SH,0.013,2.357,2.298,0.1540357522644946,put,-0.0285714285714285,0.1724118787603378,0.96,-0.8571428571428571
19,2016-12-26,2.4,4053.0,30,10000752.SH,0.0133,2.357,2.298,0.1537869861526153,call,-0.0333333333333333,0.1741175244224071,1.04,2.2,24333.0,30,10000826.SH,0.0114,2.357,2.298,0.1537869861526153,put,-0.0333333333333333,0.176277834087491,0.96,-1.0
20,2016-12-26,2.4,21031.0,30,10000779.SH,0.0124,2.357,2.298,0.1537869861526153,call,-0.0333333333333333,0.1693287108416259,1.04,2.2,24333.0,30,10000826.SH,0.0114,2.357,2.298,0.1537869861526153,put,-0.0333333333333333,0.176277834087491,0.96,-1.0
21,2017-01-11,2.4,4865.0,42,10000835.SH,0.0109,2.396,2.303,0.1112674378033126,call,-0.0238095238095238,0.1301062515862882,1.04,2.2,5176.0,42,10000836.SH,0.0094,2.396,2.303,0.1112674378033126,put,-0.0238095238095238,0.1445251443898081,0.96,-0.7142857142857143
22,2017-01-20,2.45,4240.0,33,10000841.SH,0.0054,2.396,2.349,0.0902583395369205,call,-0.0303030303030303,0.1171924945200681,1.04,2.25,5658.0,33,10000837.SH,0.0044,2.396,2.349,0.0902583395369205,put,-0.0303030303030303,0.1217264983718395,0.96,-0.9090909090909091
23,2017-01-23,2.45,4295.0,30,10000841.SH,0.0049,2.396,2.3480000000000003,0.0877787529826727,call,-0.0333333333333333,0.1206644633422493,1.04,2.25,7848.0,30,10000837.SH,0.0037,2.396,2.3480000000000003,0.0877787529826727,put,-0.0333333333333333,0.1205358365831374,0.96,-1.0
24,2017-01-24,2.45,5552.0,29,10000841.SH,0.0043,2.396,2.354,0.0869791474357115,call,-0.0344827586206896,0.1129171746972799,1.04,2.25,6419.0,29,10000837.SH,0.003,2.396,2.354,0.0869791474357115,put,-0.0344827586206896,0.1208698608454466,0.96,-1.0344827586206897
25,2017-02-08,2.45,2573.0,42,10000745.SH,0.0101,2.336,2.3480000000000003,0.0875465248125442,call,-0.0238095238095238,0.1279946388916372,1.04,2.25,2430.0,42,10000680.SH,0.0072,2.336,2.3480000000000003,0.0875465248125442,put,-0.0238095238095238,0.1255178287210464,0.96,-0.7142857142857143
26,2017-02-08,2.45,2573.0,42,10000745.SH,0.0101,2.336,2.3480000000000003,0.0875465248125442,call,-0.0238095238095238,0.1279946388916372,1.04,2.25,10804.0,42,10000820.SH,0.0071,2.336,2.3480000000000003,0.0875465248125442,put,-0.0238095238095238,0.1249494391126632,0.96,-0.7142857142857143
27,2017-02-08,2.45,14116.0,42,10000790.SH,0.0093,2.336,2.3480000000000003,0.0875465248125442,call,-0.0238095238095238,0.1241830429733395,1.04,2.25,2430.0,42,10000680.SH,0.0072,2.336,2.3480000000000003,0.0875465248125442,put,-0.0238095238095238,0.1255178287210464,0.96,-0.7142857142857143
28,2017-02-08,2.45,14116.0,42,10000790.SH,0.0093,2.336,2.3480000000000003,0.0875465248125442,call,-0.0238095238095238,0.1241830429733395,1.04,2.25,10804.0,42,10000820.SH,0.0071,2.336,2.3480000000000003,0.0875465248125442,put,-0.0238095238095238,0.1249494391126632,0.96,-0.7142857142857143
29,2017-02-09,2.45,3590.0,41,10000745.SH,0.0109,2.336,2.354,0.0835995176163915,call,-0.024390243902439,0.1280546607389152,1.04,2.25,2495.0,41,10000680.SH,0.0059,2.336,2.354,0.0835995176163915,put,-0.024390243902439,0.1237816654961109,0.96,-0.7317073170731707
30,2017-02-09,2.45,3590.0,41,10000745.SH,0.0109,2.336,2.354,0.0835995176163915,call,-0.024390243902439,0.1280546607389152,1.04,2.25,8849.0,41,10000820.SH,0.0059,2.336,2.354,0.0835995176163915,put,-0.024390243902439,0.1237816654961109,0.96,-0.7317073170731707
31,2017-02-09,2.45,11078.0,41,10000790.SH,0.0099,2.336,2.354,0.0835995176163915,call,-0.024390243902439,0.1234323824523687,1.04,2.25,2495.0,41,10000680.SH,0.0059,2.336,2.354,0.0835995176163915,put,-0.024390243902439,0.1237816654961109,0.96,-0.7317073170731707
32,2017-02-09,2.45,11078.0,41,10000790.SH,0.0099,2.336,2.354,0.0835995176163915,call,-0.024390243902439,0.1234323824523687,1.04,2.25,8849.0,41,10000820.SH,0.0059,2.336,2.354,0.0835995176163915,put,-0.024390243902439,0.1237816654961109,0.96,-0.7317073170731707
33,2017-02-20,2.5,4276.0,30,10000763.SH,0.0054,2.336,2.395,0.0914627983354122,call,-0.0333333333333333,0.1242905696987509,1.04,2.3,4506.0,30,10000682.SH,0.0055,2.336,2.395,0.0914627983354122,put,-0.0333333333333333,0.1294941717951297,0.96,-1.0
34,2017-02-20,2.5,4276.0,30,10000763.SH,0.0054,2.336,2.395,0.0914627983354122,call,-0.0333333333333333,0.1242905696987509,1.04,2.3,15733.0,30,10000792.SH,0.0051,2.336,2.395,0.0914627983354122,put,-0.0333333333333333,0.126589758116722,0.96,-1.0
35,2017-02-20,2.5,8804.0,30,10000791.SH,0.0051,2.336,2.395,0.0914627983354122,call,-0.0333333333333333,0.1221858115348219,1.04,2.3,4506.0,30,10000682.SH,0.0055,2.336,2.395,0.0914627983354122,put,-0.0333333333333333,0.1294941717951297,0.96,-1.0
36,2017-02-20,2.5,8804.0,30,10000791.SH,0.0051,2.336,2.395,0.0914627983354122,call,-0.0333333333333333,0.1221858115348219,1.04,2.3,15733.0,30,10000792.SH,0.0051,2.336,2.395,0.0914627983354122,put,-0.0333333333333333,0.126589758116722,0.96,-1.0
37,2017-02-21,2.5,4494.0,29,10000763.SH,0.005,2.336,2.393,0.0906791660469005,call,-0.0344827586206896,0.1254708602844476,1.04,2.3,2532.0,29,10000682.SH,0.0055,2.336,2.393,0.0906791660469005,put,-0.0344827586206896,0.1297747903224229,0.96,-1.0344827586206897
38,2017-02-21,2.5,4494.0,29,10000763.SH,0.005,2.336,2.393,0.0906791660469005,call,-0.0344827586206896,0.1254708602844476,1.04,2.3,9344.0,29,10000792.SH,0.0055,2.336,2.393,0.0906791660469005,put,-0.0344827586206896,0.1297747903224229,0.96,-1.0344827586206897
39,2017-02-21,2.5,15938.0,29,10000791.SH,0.0046,2.336,2.393,0.0906791660469005,call,-0.0344827586206896,0.1224825233081579,1.04,2.3,2532.0,29,10000682.SH,0.0055,2.336,2.393,0.0906791660469005,put,-0.0344827586206896,0.1297747903224229,0.96,-1.0344827586206897
40,2017-02-21,2.5,15938.0,29,10000791.SH,0.0046,2.336,2.393,0.0906791660469005,call,-0.0344827586206896,0.1224825233081579,1.04,2.3,9344.0,29,10000792.SH,0.0055,2.336,2.393,0.0906791660469005,put,-0.0344827586206896,0.1297747903224229,0.96,-1.0344827586206897
41,2017-02-22,2.5,2248.0,28,10000763.SH,0.0047,2.336,2.396,0.0820807031759522,call,-0.0357142857142857,0.12285397926867,1.04,2.3,1362.0,28,10000682.SH,0.0044,2.336,2.396,0.0820807031759522,put,-0.0357142857142857,0.1261356901598572,0.96,-1.0714285714285714
42,2017-02-22,2.5,2248.0,28,10000763.SH,0.0047,2.336,2.396,0.0820807031759522,call,-0.0357142857142857,0.12285397926867,1.04,2.3,12425.0,28,10000792.SH,0.0041,2.336,2.396,0.0820807031759522,put,-0.0357142857142857,0.1236586415708065,0.96,-1.0714285714285714
43,2017-02-22,2.5,9978.0,28,10000791.SH,0.0039,2.336,2.396,0.0820807031759522,call,-0.0357142857142857,0.116557586161375,1.04,2.3,1362.0,28,10000682.SH,0.0044,2.336,2.396,0.0820807031759522,put,-0.0357142857142857,0.1261356901598572,0.96,-1.0714285714285714
44,2017-02-22,2.5,9978.0,28,10000791.SH,0.0039,2.336,2.396,0.0820807031759522,call,-0.0357142857142857,0.116557586161375,1.04,2.3,12425.0,28,10000792.SH,0.0041,2.336,2.396,0.0820807031759522,put,-0.0357142857142857,0.1236586415708065,0.96,-1.0714285714285714
45,2017-03-07,2.45,2482.0,50,10000860.SH,0.0086,2.339,2.354,0.0761266818577179,call,-0.02,0.1051033673020005,1.04,2.25,3818.0,50,10000868.SH,0.0065,2.339,2.354,0.0761266818577179,put,-0.02,0.1164151311315894,0.96,-0.6
46,2017-03-08,2.45,6306.0,49,10000860.SH,0.0066,2.339,2.355,0.076126615477396,call,-0.0204081632653061,0.0962079745634198,1.04,2.25,2999.0,49,10000868.SH,0.0047,2.339,2.355,0.076126615477396,put,-0.0204081632653061,0.1074557230365276,0.96,-0.6122448979591837
