,Unnamed: 0_call,交易日期_x,行权价_call,成交量(手)_call,到期剩余天数_call,期权代码_call,收盘价_call,到期ETF收盘价_call,现期ETF收盘价_call,monthly_RV_call,option_type_call,期权收益率_call,IV_call,在值程度_call,Unnamed: 0_put,行权价_put,成交量(手)_put,到期剩余天数_put,期权代码_put,收盘价_put,到期ETF收盘价_put,现期ETF收盘价_put,monthly_RV_put,option_type_put,期权收益率_put,IV_put,在值程度_put,Return,交易日期_y,CV_22,intensity_22,size_22,sizevol_22
0,17,2016-02-02,2.05,1915.0,50,10000375.SH,0.06,2.171,1.975,0.0,call,0.0141277867528031,0.3040453330699205,1.04,2,1.9,1873.0,50,10000404.SH,0.08,2.171,1.975,0.0,put,-1.0,0.406660042161405,0.96,-0.0837913223337283,2016-03-08,0.0011011489906596,1,0.1108087273707066,2.51718174785121
1,54,2016-02-04,2.05,1358.0,48,10000375.SH,0.06,2.171,1.978,0.0,call,0.0147207565949218,0.306285930151373,1.04,8,1.9,2080.0,48,10000404.SH,0.07,2.171,1.978,0.0,put,-1.0,0.3812660919982791,0.96,-0.0438494894765959,2016-03-08,0.0011011489906596,1,0.1108087273707066,2.51718174785121
2,272,2016-03-14,2.15,3963.0,44,10000579.SH,0.05,2.144,2.076,0.0,call,-1.0,0.2718591986121536,1.04,62,2.0,3212.0,44,10000581.SH,0.07,2.144,2.076,0.0,put,-1.0,0.3756859079445003,0.96,-1.0,2016-04-08,0.0008047416505956,2,0.1423635760138069,4.408298555449945
3,440,2016-05-11,2.15,3798.0,42,10000459.SH,0.02,2.124,2.077,0.0,call,-1.0,0.1611931577347219,1.04,238,2.0,3940.0,42,10000536.SH,0.03,2.124,2.077,0.0,put,-1.0,0.2278682509497404,0.96,-1.0,2016-06-14,0.0003197052421811,2,0.1047233140252658,2.2811999194769004
4,488,2016-05-17,2.15,4793.0,36,10000459.SH,0.0136,2.124,2.077,0.0,call,-1.0,0.1453166340720355,1.04,258,2.0,6400.0,36,10000536.SH,0.02,2.124,2.077,0.0,put,-1.0,0.1987019247049689,0.96,-1.0,2016-06-14,0.0003197052421811,2,0.1047233140252658,2.2811999194769004
5,560,2016-05-25,2.15,7802.0,28,10000459.SH,0.0087,2.124,2.074,0.0,call,-1.0,0.1413657421685457,1.04,288,2.0,8188.0,28,10000536.SH,0.0139,2.124,2.074,0.0,put,-1.0,0.1854458583349585,0.96,-1.0,2016-06-14,0.0003197052421811,2,0.1047233140252658,2.2811999194769004
6,572,2016-05-26,2.15,12034.0,27,10000459.SH,0.0078,2.124,2.074,0.0,call,-1.0,0.1382640372145772,1.04,293,2.0,13080.0,27,10000536.SH,0.0113,2.124,2.074,0.0,put,-1.0,0.1727705793332457,0.96,-1.0,2016-06-14,0.0003197052421811,2,0.1047233140252658,2.2811999194769004
7,700,2016-08-17,2.4,11472.0,42,10000687.SH,0.02,2.219,2.3,0.0,call,-1.0,0.1716207467058003,1.04,500,2.2,8181.0,42,10000592.SH,0.0123,2.219,2.3,0.0,put,-1.0,0.1567276991901695,0.96,-1.0,2016-09-14,0.0002270579229963,3,0.0809764051033829,1.2459105624129196
8,706,2016-08-19,2.4,7357.0,40,10000687.SH,0.02,2.219,2.301,0.0,call,-1.0,0.1751079743094146,1.04,520,2.2,8386.0,40,10000592.SH,0.0128,2.219,2.301,0.0,put,-1.0,0.1637152078080773,0.96,-1.0,2016-09-14,0.0002270579229963,3,0.0809764051033829,1.2459105624129196
9,752,2016-09-12,2.35,10730.0,44,10000702.SH,0.02,2.311,2.25,0.0,call,-1.0,0.1711723411873579,1.04,630,2.15,11865.0,44,10000710.SH,0.0139,2.311,2.25,0.0,put,-1.0,0.1643955348833799,0.96,-1.0,2016-10-25,0.0001509350548924,2,0.0576268629216797,0.5778522483754394
